id,Previous Sentence,Current Sentence,Masked Sentence,Next Sentence,AI Phrase,Suggested Mask,AI Entity,Anthropomorphic Component,Target Expression,Animated,context3w,context3wmasked
2_arx_1910.06294_1190213_4,"However, such models impose a heavy memory and computational burden, making it a challenge to train and deploy such models for inference use.",In this work-in-progress we combined the effectiveness of transfer learning provided by pre-trained masked language models with a semi-supervised approach to train a fast and compact model using labeled and unlabeled examples.,In this work-in-progress we combined the effectiveness of transfer learning provided by <mask> with a semi-supervised approach to train a fast and compact model using labeled and unlabeled examples.,"Preliminary evaluations show that the compact models can achieve competitive accuracy with 36x compression rate when compared with a state-of-the-art pre-trained language model, and run significantly faster in inference, allowing deployment of such models in production environments or on edge devices.",pre-trained masked language models,pre-trained masked language models,model,provide,pre-trained masked language models,0,learning provided by pre-trained masked language models with a semi-supervised,learning provided by <mask> with a semi-supervised
2_arx_2006.05347_1299861_5,"Under the active attacks, we investigate an outage constrained beamforming design problem under the statistical cascaded channel error model, which is solved by using the Bernstein-type inequality.","As for the passive eavesdropping, an average secrecy rate maximization problem is formulated, which is addressed by a low complexity algorithm.","As for the passive eavesdropping, an average secrecy rate maximization problem is formulated, which is addressed by a <mask>.",Numerical results show that the negative effect of the eavesdropper's channel error is greater than that of the legitimate user.,a low complexity algorithm,low complexity algorithm,algorithm,address,low complexity algorithm,0,addressed by a low complexity algorithm. ,addressed by a <mask>. 
2_arx_2007.00900_1312414_5,"We quantify users' understanding of competency, based on the correlation between the actual system performance and user rankings.",We introduce an explainable VQA system that uses spatial and object features and is powered by the BERT language model.,We introduce an explainable VQA system that uses spatial and object features and is powered by the <mask>.,Each group of users sees only one kind of explanation to rank the competencies of the VQA model.,the BERT language model,BERT language model,model,power,BERT language model,0,powered by the BERT language model. ,powered by the <mask>. 
2_acl_7_34206_4,"Using a representative LLM, GPT-4, we reproduce the procedure of an existing study to analyze evoked emotions of humans for nonsense words.",A positive correlation of 0.40 was found between the emotion intensity scores reproduced by GPT-4 and those manually annotated by humans.,A positive correlation of 0.40 was found between the emotion intensity scores reproduced by <mask> and those manually annotated by humans.,"Although the correlation is not very high, this demonstrates that GPT-4 may agree with humans on emotional associations to nonsense words.",GPT-4,GPT-4,GPT-4,reproduce,GPT-4,0,scores reproduced by GPT-4 and those manually,scores reproduced by <mask> and those manually
2_arx_2103.07820_1437965_2,This paper develops and evaluates the performance of an allocation agent to be potentially integrated into the onboard Detect and Avoid (DAA) computer of an Unmanned Aircraft System (UAS).,We consider a UAS that can be fully controlled by the onboard DAA system and by a remote human pilot.,We consider a UAS that can be fully controlled by the <mask> and by a remote human pilot.,"With a communication channel prone to latency, we consider a mixed initiative interaction environment, where the control authority of the UAS is dynamically allocated by the allocation agent.",the onboard DAA system,onboard DAA system,system,control,onboard DAA system,0,controlled by the onboard DAA system and by a,controlled by the <mask> and by a
2_arx_1811.12185_1056818_9,Repeated ignorance of the operator for a particular state transition warning guides the system to retrain the model.,We observed 95.61% alarms raised by the said system are taken care of by the operator.,We observed 95.61% alarms raised by the said <mask> are taken care of by the operator.,3.2% alarms are coming from the changes in the system which in turn used to retrain the model and 1.19% alarms are false alarms.,the said system,system,system,raise alarm,system,0,by the said system are taken care,by the said <mask> are taken care
2_arx_1909.09993_1180031_2,"To alleviate data sparseness issues due to infrequent words, the combination with an acoustic-to-character (A2C) model is investigated.","Moreover, the A2C model can be used to recover out-of-vocabulary (OOV) words that are not covered by the A2W model, but this requires accurate detection of OOV words.","Moreover, the A2C model can be used to recover out-of-vocabulary (OOV) words that are not covered by the <mask>, but this requires accurate detection of OOV words.",A2W models learn contexts with both acoustic and transcripts; therefore they tend to falsely recognize OOV words as words in the vocabulary.,the A2W model,A2W model,model,cover,A2W model,0,"covered by the A2W model, but this requires","covered by the <mask>, but this requires"
2_arx_1912.06835_1218731_4,The electric field distribution (with or without corona discharge) is obtained.,"By comparing the measurements with the results predicted by the ion flow model for negative corona discharge, it is found that the electric field at the conductor surface is proportional to the current density of the corona discharge with a negative constant of proportionality.","By comparing the measurements with the results predicted by the <mask> for negative corona discharge, it is found that the electric field at the conductor surface is proportional to the current density of the corona discharge with a negative constant of proportionality.","Therefore, for negative corona discharges, Kaptzov's assumption is valid only when the discharge current approaches zero or is small.",the ion flow model,ion flow model,model,predict,ion flow model,0,predicted by the ion flow model for negative corona,predicted by the <mask> for negative corona
2_arx_2102.07384_1423873_5,"The first one takes channel state information (CSI) as input, while the second one exploits the UEs' locations only for online inference.",The two data-driven approaches are trained using data samples generated by the BCD algorithm via supervised learning.,The two data-driven approaches are trained using data samples generated by the <mask> via supervised learning.,"Our simulation results reveal a close match between the performance of the optimization-based BCD algorithm and the low-complexity learning-based architectures, all with superior performance to existing schemes in both cases with perfect and imperfect input features.",the BCD algorithm,BCD algorithm,algorithm,generate,BCD algorithm,0,generated by the BCD algorithm via supervised learning.,generated by the <mask> via supervised learning.
2_arx_2205.05016_1649428_3,"The microscopic trajectory data from the Highway Drone Dataset (HighD) are employed to construct two types of datasets, including precise trajectory datasets and fuzzy trajectory datasets for lane-changing prediction models.","The fuzzy trajectory data are developed based on different driving styles, which are clustered by the K-means algorithm.","The fuzzy trajectory data are developed based on different driving styles, which are clustered by the <mask>.","Two typical supervised learning methods, including random forest and long-short-term memory combined with convolutional neural network, are further applied for lane-changing behavior prediction.",the K-means algorithm,K-means algorithm,algorithm,cluster,K-means algorithm,0,clustered by the K-means algorithm. ,clustered by the <mask>. 
