ID,Sentence,AI entity,score
4_arx_1906.03595_1135781_6,"This collaborative creative AI presents a new paradigm in AI, one that lets a team of two or more to come together to imagine and envision ideas that synergies well with interests of all members of the team.",collaborative creative AI,1
1_acl_212_35072_9,"When an LLM encounters questions outside its domain, the system recognizes its knowledge scope and determines whether it can answer the question independently.",the system,1
2_acl_75_14800_1,"However, existing studies into language modelling with BERT have been mostly limited to English-language material and do not pay enough attention to the implicit knowledge of language, such as semantic roles, presupposition and negations, that can be acquired by the model during training.",the model,1
3_acl_11_41931_7,"In the second experiment, we ask the LLMs to numerically rate various aspects of the musical cultures of different countries.",the LLMs,0
4_arx_2408.01168_2121349_3,The paper argues that current LLM architectures are inherently untrustworthy due to their reliance on correlations of sequential patterns of word embedding vectors.,current LLM architectures,0
3_acl_814_27535_2,"Therefore, we aim to train an agent with the profile, experience, and emotional states of a specific person instead of using limited prompts to instruct ChatGPT API.",an agent,1
3_arx_2302.13817_1798751_5,We also ask ChatGPT to provide its point of view and present its responses to several questions we attempt to answer.,ChatGPT,1
1_arx_2303.17276_1817073_8,"This suggests that larger and more advanced LLMs may develop a tendency toward more human-like mistakes, as relevant thought patterns are inherent in human-produced training data.",larger and more advanced LLMs,0
1_acl_679_35529_6,"4) LLMs often exhibit overconfidence in their predictions, especially when dealing with datasets that contain shortcuts.",LLMs,0
4_arx_2402.05827_2003466_5,RQ1: Can edited LLMs behave consistently resembling communicative AI in realistic situations?,communicative AI,2
1_arx_2304.02868_1820914_3,"Precisely, ChatGPT can not construct the world model by playing the game or even reading the game manual; it may fail to leverage the world knowledge that it already has; it cannot infer the goal of each step as the game progresses.",ChatGPT,0
1_arx_1904.08530_1113570_2,We cross-check with control cases to ensure that the AI is not randomly guessing and is indeed identifying an inherent structure.,the AI,1
2_arx_2204.06916_1637054_2,"Typically, the advice generated by AI is judged by a human and either deemed reliable or rejected.",AI,0
1_arx_2303.16870_1816667_1,"ChatGPT has learned language patterns and styles from a large dataset of internet texts, allowing it to provide answers that reflect common opinions, ideas, and language patterns found in the community.",ChatGPT,1
3_acl_814_27535_3,"In this work, we introduce Character-LLM that teach LLMs to act as specific people such as Beethoven, Queen Cleopatra, Julius Caesar, etc.",LLMs,1
2_arx_2004.11543_1276313_6,Each lesson in the curriculum is learnt by a deep reinforcement learning model.,a deep reinforcement learning model,2
1_arx_2302.06100_1791034_8,We find GPT-3 performs poorly at answering straightforward questions about these simple synthetic statutes.,GPT-3,0
4_acl_693_19140_1,"However, existing DA-training methods are in some sense blind as they do not explicitly identify what knowledge in the LM should be preserved and what should be changed by the domain corpus.",existing DA-training methods,1
4_acl_94_36582_1,"However, the untrustworthy third-party LLMs may covertly introduce vulnerabilities for downstream tasks.",the untrustworthy third-party LLMs,1
4_acl_155_26876_9,"Amidst the extensive deliberations on policy-making for regulating AI development, it is of utmost importance to assess and measure which LLM is more vulnerable towards hallucination.",LLM,1
1_acl_218_28354_4,Our evaluation finds that it is increasingly challenging for LLMs to identify analogies when going up the analogy taxonomy.,LLMs,1
1_acl_7_34361_5,The results show that ChatGPT made more changes than the average post-editor.,ChatGPT,0
2_acl_1_42012_5,"We posit that multiple solutions to a reasoning task, generated by an LLM, can be represented as a reasoning graph due to the logical connections between intermediate steps from different reasoning paths.",LLM,0
2_arx_1806.10698_996338_7,"In addition, we found that the triage advice recommended by the AI System was, on average, safer than that of human doctors, when compared to the ranges of acceptable triage provided by independent expert judges, with only a minimal reduction in appropriateness.",the AI system,1
1_arx_1905.04127_1122563_1,"Traditionally, AI agents have suffered from difficulties in using only sensory inputs to obtain a good representation of their environment and then mapping this representation to an efficient control policy.",AI agents,1
3_arx_1712.09783_928382_2,"In order to train the MoE model efficiently, a matrix factorization method is applied, by extending each weight matrix of the RNN to be an ensemble of topic-dependent weight matrices.",the MoE model,0
1_acl_78_25975_8,The semantic dependency feature serves as a global signal and helps the model learn simile knowledge that can be applied to unseen domains.,the model,1
4_acl_45_49661_1,We show that an “attentive” RNN-LM (with 11M parameters) achieves a better perplexity than larger RNN-LMs (with 66M parameters) and achieves performance comparable to an ensemble of 10 similar sized RNN-LMs.,"an ""attentive"" RNN-LM",0
4_arx_2502.07072_2250063_1,"LLMs are notoriously vulnerable to biases in their dataset, leading to issues such as toxicity.",LLMs,0
4_arx_1812.08960_1066534_3,"A smart autonomous system (SAS) combines analytics and autonomy to understand, learn, decide and act autonomously.",A smart autonomous system (SAS),1
1_arx_1205.3313_342314_2,"The model does not differentiate between aerosol particles, cloud droplets, drizzle or rain drops.",The model,0
4_arx_2405.06715_2063927_2,"However, whether the same strategies can help LLMs become more creative remains under-explored.",LLMs,1
4_arx_2402.09442_2007081_0,"In the era of Internet of Things, how to develop a smart sensor system with sustainable power supply, easy deployment and flexible use has become a difficult problem to be solved.",a smart sensor system,0
2_acl_600_45881_2,"In this paper, we introduce a new multilingual parallel dataset SHADES to help address this issue, designed for examining culturally-specific stereotypes that may be learned by LLMs.",LLMs,0
2_acl_98_33764_7,"Human raters were asked to rate the explanation of the implicatures generated by LLMs on their reasonability, logic and fluency.",LLMs,0
3_arx_2308.01154_1889046_3,We successfully trained a light language model to learn these tasks and ran a number of experiments to investigate the extrapolation capabilities and internal information processing.,a light language model,0
1_acl_57_25373_2,"By analyzing call transcripts, AI can quickly determine which calls are most relevant for coaching purposes, and provide relevant feedback and insights to the contact center manager or supervisor.",AI,1
2_arx_2012.09755_1397633_5,"Specifically, the structural features identified by our algorithm were found to be related to clinical observations of glaucoma.",our algorithm,0
1_acl_1011_30047_1,"However, the instruction-tuned model has only seen one response per instruction, lacking the knowledge of potentially better responses.",the instruction-tuned model,1
4_acl_906_35749_3,"This work seeks to understand the strengths and limitations of editing methods, facilitating practical applications of communicative AI.",communicative AI,2
3_acl_920_38624_10_1,"We show that choosing the best policy to interact with the LLM can reduce cost by ~90% while giving better or comparable performance, compared to communicating with the LLM in the original LRL.",the LLM,0
1_acl_590_35441_1,"However, it is unclear if this success is limited to explicitly-mentioned causal facts in the pretraining data which the model can memorize.",the model,0
