id,sentence,AI phrase,mask,AI entity,anthro component,score
4_acl_683_21860_6,"Next, an experiment is conducted on the dataset to examine to what extent a pretrained masked language model is aware of the constructions.",a pretrained masked language model,pretrained masked language model,model,aware,p2
4_acl_348_35206_2,A desired characteristic of an intelligent system is its ability to recognize the scope of its own knowledge.,an intelligent system,system,system,intelligent,p3
4_acl_3_45070_1,LLMs are intelligent and slowly replacing the search engines.,LLMs,LLMs,LLM,intelligent,p2
4_acl_396_37165_1,"However, a critical question emerges: Are LLMs conscious of the existence of these decoding strategies and capable of regulating themselves?",LLMs,LLMs,LLM,conscious,p2
4_acl_590_28726_3,"In this way, the captioning model can become aware of the task goal and information need from the PLM.",the captioning model,captioning model,model,aware,p2
4_acl_818_37575_1,"In practical use, users might provide feedback based on the model’s output, hoping for a responsive model that can complete responses according to their feedback.",a responsive model,model,model,responsive,p2
4_acl_633_48859_2,"This approach allows for efficient iterative decoding, where we first predict all of the target words non-autoregressively, and then repeatedly mask out and regenerate the subset of words that the model is least confident about.",the model,model,model,confident,p2
4_acl_243_44794_7,"In addition, we found that the model becomes more confident and refuses to provide an answer in only few cases.",the model,model,model,confident,p2
4_acl_276_39685_3,(2) Is ChatGPT aware of the underlying commonsense knowledge for answering a specific question?,ChatGPT,ChatGPT,ChatGPT,aware,p2
4_acl_117_37846_1,"However, when LLMs face different types of questions, it is worth exploring whether LLMs are aware that some questions have limited answers and need to respond more deterministically but some do not.",LLMs,LLMs,LLM,aware,p2
4_acl_450_41596_3,"The goal is to cultivate culturally cognizant and value-aligned Arabic LLMs capable of accommodating the diverse, application-specific needs of Arabic-speaking communities.",culturally cognizant and value-aligned Arabic LLMs,Arabic LLMs,LLM,"culturally cognizant,value-aligned",p2
4_acl_45_49661_2,We also show that an “attentive” RNN-LM needs less contextual information to achieve similar results to the state-of-the-art on the wikitext2 dataset.,"an ""attentive"" RNN-LM",RNN-LM,LM,attentive,p3
4_arx_2311.04177_1947144_0,Large Language Models (LLMs) are smart but forgetful.,Large Language Models (LLMs),Large Language Models (LLMs),model,"smart,forgetful",p2
4_arx_1511.03246_676426_3,"In this work, we survey, classify and analyze a number of circumstances, which might lead to arrival of malicious AI.",malicious AI,AI,AI,malicious,p2
4_arx_2005.13635_1293430_5,Our evaluation using convolutional neural networks illustrates challenges and ideas for identifying malicious AI.,malicious AI,AI,AI,malicious,p2
