id,sentence,AI phrase,mask,AI entity,anthro component,score
5_arx_2102.07536_1424025_6,"Testing human behaviour in interaction with actual AI outputs, we provide first behavioural insights into the role of AI as an advisor.",AI,AI,AI,advisor,p
5_acl_183_26904_4,Our objective is to capture the breadth of interactions between a human user and an AI assistant and employs a comprehensive framework to generate multi-turn conversation iteratively.,an AI assistant,AI,AI,assistant,p
5_arx_2505.03380_2313940_0,"Medical AI assistants support doctors in disease diagnosis, medical image analysis, and report generation.",Medical AI assistants,AI,AI,medical assistant,p
5_arx_2304.09873_1827919_4,"Using ChatGPT as an assistant for psychotherapy poses several challenges that need to be addressed, including technical as well as human-centric challenges which are discussed.",ChatGPT,ChatGPT,ChatGPT,assistant for psychotherapy,p
5_acl_5_43351_1,"However, assessing the novelty in scholarly publications, a critical facet of evaluating LLMs as scientific discovery assistants, remains underexplored, despite its potential to accelerate research cycles and prioritize high-impact contributions in scientific workflows.",LLMs,LLMs,LLM,scientific discovery assistant,p
5_acl_50_42804_0,"We describe a class of tasks called decision-oriented dialogues, in which AI assistants such as large language models (LMs) must collaborate with one or more humans via natural language to help them make complex decisions.",AI assistants such as large language models (LMs),AI,AI,assistant,p
5_acl_50_42804_2,"In each of these settings, AI assistants and users have disparate abilities that they must combine to arrive at the best decision: Assistants can access and process large amounts of information, while users have preferences and constraints external to the system.",AI assistants,AI,AI,assistant,p
5_arx_2008.12095_1339817_1,"Future conversational AI assistants promise even greater capabilities and a better user experience through a deeper understanding of the domain, the user, or the user's purposes.",Future conversational AI assistants,conversational AI,AI,assistant,p
5_arx_2501.13945_2237529_2,These social AI assistants too need to explain themselves in order to enhance transparency and trust with the learners.,These social AI assistants,AI,AI,assistant,p
5_arx_2504.15236_2303939_0,"AI assistants can impart value judgments that shape people's decisions and worldviews, yet little is known empirically about what values these systems rely on in practice.",AI assistants,AI,AI,assistant,p
5_arx_2502.13321_2256312_1,We propose that AI assistants should adapt their behavior through trust-adaptive interventions to mitigate such inappropriate reliance.,AI assistants,AI,AI,assistant,p
5_arx_2401.13275_1992829_0,"Recently, AI assistants based on large language models (LLMs) show surprising performance in many tasks, such as dialogue, solving math problems, writing code, and using tools.",AI assistants based on large language models (LLMs),AI,AI,assistant,p
5_arx_2306.16092_1869240_0,"AI legal assistants based on Large Language Models (LLMs) can provide accessible legal consulting services, but the hallucination problem poses potential legal risks.",AI legal assistants based on Large Language Models (LLMs),AI,AI,legal assistant,p
5_arx_2312.13103_1974911_1,This paper proposes one of the first clinical applications of multimodal large language models (LLMs) as an assistant for radiologists to check errors in their reports.,multimodal large language models (LLMs),multimodal large language models (LLMs),model,assistant for radiologists,p
5_arx_2502.05023_2248014_0,"AI assistants can help developers by recommending code to be included in their implementations (e.g., suggesting the implementation of a method from its signature).",AI assistants,AI,AI,assistant,p
5_arx_2503.21983_2286295_1,A key prerequisite to developing these safeguards is understanding the ability of these AI assistants to mislead human teammates.,these AI assistants,AI,AI,assistant,p
5_arx_2503.21983_2286295_3,"Unbeknownst to the humans, the AI assistant is adversarial.",the AI assistant,AI,AI,assistant,p
5_arx_2504.15867_2304570_0,"Due to insufficient domain knowledge, LLM coding assistants often reference related solutions from the Internet to address programming problems.",LLM coding assistants,LLM,LLM,coding assistant,p
5_arx_2411.09224_2191651_5,"Although these AI assistants illustrate a high level of progress in language understanding and code generation, along with ethical considerations and responsible usage, they provoke a necessity for discussion.",these AI assistants,AI,AI,assistant,p
5_arx_2305.02626_1835682_1,"In particular, given that LLMs have great potential to serve as general-purpose AI assistants in daily life, their subtly unethical suggestions become a serious and real concern.",LLMs,LLMs,LLM,assistant,p
5_acl_523_44090_1,"As such, it can be valuable for a large language model (LLM), particularly as an AI assistant, to be able to empathize with or even explain these various standpoints.",a large language model (LLM),large language model (LLM),model,assistant,p
5_acl_321_45615_1,"To deploy LLMs as AI assistants, it is crucial that these models exhibit desirable behavioral traits, such as non-toxicity and resilience against jailbreak attempts.",LLMs,LLMs,LLM,assistant,p
5_arx_2306.07207_1860355_0,"Large Language Models (LLMs), with remarkable conversational capability, have emerged as AI assistants that can handle both visual and textual modalities.",Large Language Models (LLMs),Large Language Models (LLMs),model,assistant,p
5_arx_2502.20541_2263532_1,"The system leverages the capabilities of a sophisticated language model to serve as an intelligent research assistant, enhancing the efficiency and comprehensiveness of literature reviews in the nanotechnology domain.",The system,system,system,intelligent research assistant,p
5_arx_2412.01992_2204370_5_2,"For example, in comparing ChatCollab AI agents, we find that an AI CEO agent generally provides suggestions 2-4 times more often than an AI product manager or AI developer, suggesting agents within ChatCollab can meaningfully adopt differentiated collaborative roles.",an AI CEO agent,AI,AI,CEO,p
5_arx_1902.03271_1084355_5,"In particular, we will study the individual treatment profiles suggested by their AI Clinician to gain insight into how their AI Clinician intends to treat patients on an individual level.",their AI Clinician,AI,AI,clinician,p
5_arx_2311.16161_1959128_2,"Departing from conventional practices of employing distinct models for image recognition and text-based coaching, our integrated architecture directly processes input images, enabling natural question-and-answer dialogues with the AI coach.",the AI coach,AI,AI,coach,p
5_arx_2306.03090_1856238_2,We explore whether generative AI could become a cost-effective complement to expert feedback by serving as an automated teacher coach.,generative AI,generative AI,AI,teacher coach,p
5_arx_2501.18948_2242532_3,"Meanwhile, Human-Centered AI (HCAI), which envisions AI as a collaborator augmenting human capabilities and aligning with societal values, remains a fugitive from the mainstream narrative.",AI,AI,AI,collaborator,p
5_arx_2504.04253_2292956_6,"Finally, we present our vision for a user-centered system that leverages GenAI not only for automation but as an intelligent collaborator in visual data exploration.",GenAI,GenAI,GenAI,intelligent collaborator,p
5_arx_2407.19096_2117483_4,"Study 3 finds that AI companions successfully alleviate loneliness on par only with interacting with another person, and more than other activities such watching YouTube videos.",AI companions,AI,AI,companion,p
5_arx_2503.03067_2267379_3,"We identify various roles users assign to AI companions, such as friends, mentors, or romantic partners, and highlights the importance of customization and emotional support in these interactions.",AI companions,AI,AI,companion,p
5_arx_2407.19096_2117483_5,"Moreover, consumers underestimate the degree to which AI companions improve their loneliness.",AI companions,AI,AI,companion,p
5_arx_2407.19096_2117483_6,Study 4 uses a longitudinal design and finds that an AI companion consistently reduces loneliness over the course of a week.,an AI companion,AI,AI,companion,p
5_arx_2503.03067_2267379_2,"Key findings reveal that users engage with AI companions for emotional comfort, stress relief, and to avoid social pressures.",AI companions,AI,AI,companion,p
5_arx_2503.03067_2267379_0,"This paper explores the acceptance of human-AI love among young adults, particularly focusing on Chinese women in romantic or intimate relationships with AI companions.",AI companions,AI,AI,companion,p
5_arx_2409.00862_2138494_0,"Large language model-based AI companions are increasingly viewed by users as friends or romantic partners, leading to deep emotional bonds.",Large language model-based AI companions,AI,AI,companion,p
5_arx_2412.01992_2204370_5_3,"For example, in comparing ChatCollab AI agents, we find that an AI CEO agent generally provides suggestions 2-4 times more often than an AI product manager or AI developer, suggesting agents within ChatCollab can meaningfully adopt differentiated collaborative roles.",AI developer,AI,AI,developer,p
5_arx_2411.15692_2198119_5_1,DrugAgent employs an LLM Planner that formulates high-level ideas and an LLM Instructor that identifies and integrates domain knowledge when implementing those ideas.,an LLM instructor,LLM,LLM,instructor,p
5_arx_2502.17730_2260721_2,"However, how AI managers are perceived in comparison to human managers and how gender influences these perceptions remains uncertain.",AI managers,AI,AI,manager,p
5_arx_2402.05605_2003244_4,"To determine the best selection of a control agent, we propose the addition of an AI manager (via Reinforcement Learning) which learns as an outside observer of the team.",an AI manager,AI,AI,manager,p
5_arx_2412.01992_2204370_5_1,"For example, in comparing ChatCollab AI agents, we find that an AI CEO agent generally provides suggestions 2-4 times more often than an AI product manager or AI developer, suggesting agents within ChatCollab can meaningfully adopt differentiated collaborative roles.",an AI product manager,AI,AI,product manager,p
5_arx_2303.18116_1817913_4,"It is demonstrated that if the typical pitfalls are avoided, we can substantially benefit from collaborating with an AI partner.",an AI partner,AI,AI,partner,p
5_arx_2304.07297_1825343_2,"We propose a novel framework, instructRL, that enables humans to specify what kind of strategies they expect from their AI partners through natural language instructions.",AI partners,AI,AI,partner,p
5_arx_2503.05455_2269767_4,"In another experiment, we enable human control, showing that participants perceive AI partners as more effective and enjoyable when they can directly dictate AI behavior.",AI partners,AI,AI,partner,p
5_arx_2404.10225_2047676_4,"These AI partners engage in iterative, conversation-driven development processes, aligning closely with human goals and facilitating informed decision-making.",These AI partners,AI,AI,partner,p
5_arx_2502.01493_2244484_4,"These attributes foster balanced interaction, enabling AI to act as a responsive partner, evolving with users over time.",AI,AI,AI,responsive partner,p
5_arx_2501.19361_2242945_1,"Although these LLMs are marketed as helpful creative assistants, several works have shown that using an LLM as a creative partner results in a narrower set of creative outputs.",an LLM,LLM,LLM,creative partner,p
5_arx_2502.18357_2261348_1,"In these tasks, the AI system acts as a co-creative partner, making novel contributions to an artifact-under-creation alongside its human partner(s).",the AI system,AI system,system,co-creative partner,p
5_arx_2411.15692_2198119_5_2,DrugAgent employs an LLM Planner that formulates high-level ideas and an LLM Instructor that identifies and integrates domain knowledge when implementing those ideas.,an LLM planner,LLM,LLM,planner,p
5_acl_280_13090_8_1,"In addition, we propose a momentum distillation method by incorporating the gradients of teacher model into the update of the student model to better transfer the knowledge learned by the teacher model.",the student model,model,model,student,p
5_acl_113_41260_10,"We discuss these challenges, demonstrate that a dedicated prompt can improve the performance, and propose a blueprint of an LLM supporter that actively (but sensitively) seeks user context to provide personalized, empathetic, and reliable responses.",an LLM supporter,LLM,LLM,supporter,p
5_acl_280_13090_8_2,"In addition, we propose a momentum distillation method by incorporating the gradients of teacher model into the update of student model to better transfer the knowledge learned by the teacher model.",the teacher model,model,model,teacher,p
5_acl_64_25713_1,"The goal of the task was to benchmark the ability of generative language models to act as AI teachers, replying to a student in a teacher-student dialogue.",generative language models,language models,model,teacher,p
5_acl_65_25714_2,The task aims to assess the performance of state-of-the-art generative models as AI teachers in producing suitable responses within a student-teacher dialogue.,state-of-the-art generative models,generative models,model,teacher,p
5_acl_358_41505_5,"Leveraging the strong language abilities of LLMs, we instruct LLM teachers to synthesize diverse contexts and anticipate more potential errors for the student.",LLM teachers,LLM,LLM,teacher,p
5_arx_2311.06985_1949952_2,"We ask whether a large language model (LLM) can serve as a more effective in-context teacher for itself or other LLMs, compared to humans.",a large language model (LLM),large language model (LLM),model,teacher,p
5_acl_991_40401_3,"First, we train a teacher model to quantify each sample’s degree of relying on shortcuts.",a teacher model,model,model,teacher,p
5_acl_6_43304_0,"My research theme is to develop an optimal analytical model for various information generated during therapy using multimodal data in psychotherapy, to elucidate the process of psychotherapy, and to create an AI therapist to develop a new psychotherapy.",an AI therapist,AI,AI,therapist,p
5_acl_57_45359_0,"In this paper, we investigate whether current state-of-the-art large language models (LLMs) are effective as AI tutors and whether they demonstrate pedagogical abilities necessary for good AI tutoring in educational dialogues.",current state-of-the-art large language models (LLMs),large language models (LLMs),model,tutor,p
5_arx_2104.01266_1448684_4,Results from a field study conducted in K-12 classrooms indicate that students learn more when teachers and AI tutors work together during class.,AI tutors,AI,AI,tutor,p
5_arx_2505.02443_2313003_2,"However, concerns arise about the ability of AI tutors to address skill development and engagement during the learning process.",AI tutors,AI,AI,tutor,p
5_arx_2309.13060_1917864_8,This research demonstrates the ability of personal AI tutors to model human learning processes and effectively enhance academic performance.,personal AI tutors,AI,AI,tutor,p
5_arx_2407.15718_2114105_7,"When students posed questions within the intended scope, the AI tutors delivered accurate responses 98% of the time.",the AI tutors,AI,AI,tutor,p
5_arx_2407.15718_2114105_6,"Overall, about half of the students engaged with the AI tutors, and the vast majority of the interactions were legitimate homework questions.",the AI tutors,AI,AI,tutor,p
5_arx_2504.09720_2298423_2,"When deployed as a collaborative tutor, the system restricts student interaction to a chat only interface, promoting controlled and guided engagement.",the system,system,system,collaborative tutor,p
5_arx_2501.09171_2232755_0,Many believe that use of generative AI as a private tutor has the potential to shrink access and achievement gaps between students and schools with abundant resources versus those with fewer resources.,generative AI,generative AI,AI,private tutor,p
5_arx_2504.13903_2302606_4,"Experienced developers are more likely to perceive AI as a junior colleague, a content generator, or assign it no role, whereas less experienced developers primarily view AI as a teacher.",AI,AI,AI,"junior colleague,content generator",p
