id,sentence,AI phrase,mask,AI entity,anthro component,score
6_arx_2104.14506_1461924_5,"The end users can be domain experts, regulatory agencies, managers and executive board members, data scientists, users that use AI, with or without awareness, or someone who is affected by the decisions of an AI model.",an AI model,AI model,model,decisions,p
6_acl_183_18630_5,"On four tasks (two lexical tasks, two advanced ethical reasoning tasks), we show how a (simulated) user can interactively teach a deployed GPT-3, substantially increasing its accuracy over the queries with different kinds of misunderstandings by the GPT-3.",the GPT-3,GPT-3,GPT-3,misunderstandings,p
6_arx_1912.03652_1215548_4,We investigate how inputs of humans can be altered to reduce misinterpretation by the AI system and to improve efficiency of input generation for the human while altered inputs should remain as similar as possible to the original inputs.,the AI system,AI system,system,misinterpretations,p
6_acl_373_16531_2,Actions by the AI system may be required to bring these objects in view.,the AI system,AI system,system,actions,p
6_arx_2110.06674_1544817_2,"This raises the question of how we should limit the harm caused by AI ""lies"" (i.e. falsehoods that are actively selected for).",AI,AI,AI,lies,p
6_arx_2207.07051_1682949_0,  Reasoning is a key ability for an intelligent system.,an intelligent system,system,system,reasoning,p  
6_acl_71_46015_2,"In this study, leveraging the POPQUORN dataset, we evaluate nine popular LLMs on their ability to understand demographic differences in two subjective judgment tasks: politeness and offensiveness.",nine popular LLMs,LLMs,LLM,ability to understand,p
6_arx_2405.01576_2058788_0,We study the tendency of AI systems to deceive by constructing a realistic simulation setting of a company AI assistant.,AI systems,AI systems,system,tendency to deceive,p
6_acl_245_29281_1,"With large language models like GPT-4 taking over the field, prompting techniques such as chain-of-thought (CoT) were proposed to unlock compositional, multi-step reasoning capabilities of LLMs.",LLMs,LLMs,LLM,reasoning capabilities,p
6_acl_916_40326_5,LHMKE is designed to provide a comprehensive evaluation of the knowledge acquisition capabilities of Chinese LLMs.,Chinese LLMs,LLMs,LLM,knowledge acquisition capabilities,p
6_acl_1539_40949_1,"However, this awareness of LMs has been insufficiently studied, since the computer science community lacks access to the large-scale real-world data about multi-cultural values.",LMs,LMs,LM,awareness,p
6_acl_225_32387_1,Numerous benchmarks have been established to assess the reasoning abilities of LLMs.,LLMs,LLMs,LLM,reasoning abilities,p
