id,sentence,AI phrase,mask,AI entity,anthro component,score
2_acl_119_34984_3,"However, even state-of-the-art large language models (LLMs) still face challenges in such scenarios, primarily due to the following hurdles: (1) LLMs are not explicitly trained to deal with ambiguous utterances; (2) the degree of ambiguity perceived by the LLMs may vary depending on the possessed knowledge.",the LLMs,LLMs,LLM,perceive,p2
2_acl_738_35585_4,"Since a fallacious procedure is generally considered fake and thus harmless by LLMs, it helps bypass the safeguard mechanism.",LLMs,LLMs,LLM,consider,p2
2_acl_304_37076_3,However their explicitly mention of malicious intent will be easily recognized and defended by LLMs.,LLMs,LLMs,LLM,"recognize,defend",p2
2_acl_305_37077_7,This conclusion is supported by detailed evaluations conducted by both GPT-4 and medical professionals.,GPT-4,GPT-4,GPT-4,conduct,p3
2_acl_687_35537_5,"However, this ability is inconsistent: with a minimal reformulation of the task, some LMs were found to pick up on shallow, non-semantic heuristics from their inputs, suggesting that the computational principles of semantic property inference are yet to be mastered by LMs.",LMs,LMs,LM,master,p2
2_arx_1811.00189_1044822_2,A remarkable feature of RAE is that the image can be correctly recognized and used by the AI model specified by the user because the authorized AI can recover the original image from the RAE exactly by eliminating adversarial perturbation.,the AI model,AI model,model,"recognize,use",p2
2_arx_2204.03332_1633470_10,"We also demonstrate, that the considered system possesses a counter-intuitive relationship between workload and performance, which nevertheless is correctly inferred by the proposed simulation model.",the proposed simulation model,simulation model,model,infer,p2
2_arx_1811.00189_1044822_0,"In this study, we propose a new methodology to control how user's data is recognized and used by AI via exploiting the properties of adversarial examples.",AI,AI,AI,"recognize,use",p2
2_arx_1910.04404_1188323_0,Explanation is necessary for humans to understand and accept decisions made by an AI system when the system's goal is known.,an AI system,AI system,system,make a decision,p2
2_arx_2012.08285_1396163_1,"The goal of this article is to paint a vision of a new air interface which is partially designed by AI to enable optimized communication schemes for any hardware, radio environment, and application.",AI,AI,AI,design,p3
2_arx_2205.08123_1652535_3,"Results: After the exclusion of cases not meeting the study criteria, 9579 cases were analysed by AI.",AI,AI,AI,analyse,p2
2_acl_10_8527_2,"The former is concerned with the generation of explanations for decisions taken by AI systems, while the latter is concerned with the way explanations are given to users and received by them.",AI systems,AI systems,system,take a decision,p2
2_arx_2011.13169_1385917_2,The need for explainable AI does not stem only from ethical and moral grounds but also from stricter legislation around the world mandating clear and justifiable explanations of any decision taken or assisted by AI.,AI,AI,AI,"take a decision,assist a decision",p2
2_arx_1712.07473_926072_0,  One of the big challenges in machine learning applications is that training data can be different from the real-world data faced by the algorithm.,the algorithm,algorithm,algorithm,face,p2
2_arx_2011.03195_1375943_6,Medical diagnosis model is responsible for human life and we need to be confident enough to treat a patient as instructed by a black-box model.,a black-box model,black-box model,model,instruct,p2
2_arx_1806.10698_996338_7,"In addition, we found that the triage advice recommended by the AI System was, on average, safer than that of human doctors, when compared to the ranges of acceptable triage provided by independent expert judges, with only a minimal reduction in appropriateness.",the AI system,AI system,system,recommend,p2
2_arx_1707.01659_866691_0,"In this work, a dynamic system is controlled by multiple sensor-actuator agents, each of them commanding and observing parts of the system's input and output.",multiple sensor-actuator agents,sensor-actuator agents,agent,"control,command,observe",p3
2_arx_1905.10083_1128519_5,"However, research on edge intelligence is still in its infancy stage, and a dedicated venue for exchanging the recent advances of edge intelligence is highly desired by both the computer system and artificial intelligence communities.",the computer system,computer system,system,desire,p2
2_arx_1811.01439_1046072_2,"These models are a useful pedagogical device for teaching trained professionals how to predict what decisions will be made by the complex system, and most importantly how the system might break.",the complex system,system,system,make a decision,p2
2_arx_2311.11045_1954012_4,"We seek to teach small LMs to employ different solution strategies for different tasks, potentially different from the one used by the larger model.",small LMs,LMs,LM,teach,p2
3_acl_569_29605_3,"Using GPT4 as the editor, we find it can successfully edit trigger shortcut in samples that fool LLMs.",LLMs,LLMs,LLM,fool,p2
3_acl_71_43638_5,"Specifically, we first identify a series of action candidates that could potentially trick LLMs into providing harmful responses.",LLMs,LLMs,LLM,trick,p2
3_arx_40_10977_2,"In a series of experiments, we evaluate the extent to which language model representations of city and country names are isomorphic to real-world geography, e.g., if you tell a language model where Paris and Berlin are, does it know the way to Rome?",a language model,language model,model,tell,p3
3_arx_2304.08366_1826412_8,"Next, we summarize the interviewees' reasons why and why not they would like to collaborate with AI.",AI,AI,AI,collaborate with,p2
