id,sentence,AI phrase,mask,AI entity,score
Language models (LMs) are vulnerable to exploitation for adversarial misuse.,Language models (LMs),Language models (LMs),model,vulnerable,inc
"While governments and businesses are eager to enjoy the benefits of AI innovations, the mixed impact of these autonomous and intelligent systems on human well-being has become a pressing issue.",these autonomous and intelligent systems,systems,system,"autonomous,intelligent",inc
Integrating LLMs into KE tasks needs to be mindful of potential risks and harms related to responsible AI.,responsible AI,AI,AI,responsible,inc
RQ1: Can edited LLMs behave consistently resembling communicative AI in realistic situations?,communicative AI,AI,AI,communicative,inc
"The results demonstrate the descriptive value of the ResQu model to predict behavior and perceptions of responsibility by considering the characteristics of the human, the intelligent system, the environment and some systematic behavioral biases.",the intelligent system,system,system,intelligent,inc
"Moreover, our error analysis shows that language models are generally less sensitive to the changes in claim length and source than the SVM model.",language models,models,model,sensitive,inc
"Modern large language models are sensitive to prompts, and another synonymous expression or a typo may lead to unexpected results for the model.",Modern large language models,large language models,model,sensitive,inc
"We find that LMs are highly sensitive to epistemic markers in prompts, with accuracies varying more than 80%.",LMs,LMs,LM,sensitive,inc
Analysis shows that LLMs are sensitive to subtle contextual changes and often rely on surface-level cues.,LLMs,LLMs,LLM,sensitive,inc
"These relationships were found to be central to the development and adoption of LLMs, but they can also be the terrain for uncalibrated trust and reliance on untrustworthy LLMs.",untrustworthy LLMs,LLMs,LLM,untrustworthy,inc
"This collaborative creative AI presents a new paradigm in AI, one that lets a team of two or more to come together to imagine and envision ideas that synergies well with interests of all members of the team.",This collaborative creative AI,AI,AI,"collaborative,creative",inc
Our best morpheme-aware model with properly reused weights beats the competitive word-level model by a large margin across multiple languages and has 20%-87% fewer parameters.,the competitive word-level model,word-level model,model,competitive,inc
"However, the untrustworthy third-party LLMs may covertly introduce vulnerabilities for downstream tasks.",the untrustworthy third-party LLMs,third-party LLMs,LLM,untrustworthy,inc
"An intelligent algorithm which renders security surveillance more effective in detecting conflicts would bring many benefits to the passengers in terms of their safety, finance, and travelling efficiency.",An intelligent algorithm,algorithm,algorithm,intelligent,inc
"Amidst the extensive deliberations on policy-making for regulating AI development, it is of utmost importance to assess and measure which LLM is more vulnerable towards hallucination.",LLM,LLM,LLM,vulnerable,inc
This work presents the development of an intelligent system that classifies and segments food presented in images to help the automatic monitoring of user diet and nutritional intake.,an intelligent system,system,system,intelligent,inc
"However, given, e.g., economic incentives to create dishonest AI, to what extent can we trust explanations?",dishonest AI,AI,AI,dishonest,inc
"Finally, we analyze 6 Arabic pre-training corpora and find that commonly used sources such as Wikipedia may not be best suited to build culturally aware LMs, if used as they are without adjustment.",culturally aware LMs,LMs,LM,culturally aware,inc
We show that an “attentive” RNN-LM (with 11M parameters) achieves a better perplexity than larger RNN-LMs (with 66M parameters) and achieves performance comparable to an ensemble of 10 similar sized RNN-LMs.,"an ""attentive"" RNN-LM",RNN-LM,LM,attentive,inc
"To address this blind spot, this study introduces the AI Family Integration Index (AFII), a ten dimensional benchmarking framework that evaluates national preparedness for integrating emotionally intelligent AI into family and caregiving systems.",emotionally intelligent AI,AI,AI,emotionally intelligent,inc
"We outline the conceptual foundations of Thoughtful AI, illustrate its potential through example projects, and envision how this paradigm can transform human-AI interaction in the future.",  Thoughtful AI,  AI,AI,thoughtful,inc
