id,sentence,AI phrase,mask,AI entity,score
Participants of the AI track are asked to develop their AI algorithm that controls a character given only sound as the input (blind AI) to fight against their opponent; a sample deep-learning blind AI will be provided by us.,a sample deep-learning blind AI,AI,AI,"deep-learning,blind",n3
"Without requiring any multilingual caption data, we propose LMCap, an image-blind few-shot multilingual captioning model that works by prompting a language model with retrieved captions.",an image-blind few-shot multilingual captioning model,captioning model,model,"image-blind,few-shot,multilingual",n1
"We then discuss ways to develop concept-aware LLMs, taking place at different stages of the pipeline.",concept-aware LLMs,LLMs,LLM,concept-aware,n1
"  In this work, we describe our approach to developing an intelligent and robust social robotic system for the Nadine social robot platform.",an intelligent and robust social robotic system,system,system,"intelligent,robust",n3
We demonstrate an intelligent conversational agent system designed for advancing human-machine collaborative tasks.,an intelligent conversational agent system,conversational agent system,system,"intelligent,conversational",n3
"In an effort to construct an intelligent computer system, a primary consideration is to represent large amounts of knowledge in a way that allows effective use and efficiently organizing information to facilitate making the recommended inferences.",an intelligent computer system,computer system,system,intelligent,n3
"Large language models (LLMs) have played a pivotal role in building communicative AI, yet they encounter the challenge of efficient updates.",communicative AI,AI,AI,communicative,n3
"As consensus across the various published AI ethics principles is approached, a gap remains between high-level principles and practical techniques that can be readily adopted to design and develop responsible AI systems.",responsible AI systems,AI systems,system,responsible,n3
A novel implementation is proposed to create an intelligent team optimization algorithm.,intelligent team optimization algorithm,team optimization algorithm,algorithm,intelligent,n3
"This work seeks to understand the strengths and limitations of editing methods, facilitating practical applications of communicative AI.",communicative AI,AI,AI,communicative,n3
This work demonstrates the viability and interaction potential of an intelligent multimodal interactive system powered by large laguage models.,intelligent multimodal interactive system,system,system,intelligent,n3
"The aim was to develop a new, real time and highly sensitive sensor system for VOCs monitoring.","a new, real time and highly sensitive sensor system",sensor system,system,sensitive,n3
"In the era of Internet of Things, how to develop a smart sensor system with sustainable power supply, easy deployment and flexible use has become a difficult problem to be solved.",a smart sensor system,sensor system,system,smart,n3
"Based on the convergence analysis, we further develop a channel and gradient-importance aware algorithm to optimize the device scheduling probabilities in PO-FL.",a channel and gradient-importance aware algorithm,algorithm,algorithm,channel and gradient-importance aware,n1
This study explores the integration of the ChatGPT API with GPT-4 model and Microsoft Copilot Studio on the Microsoft Teams platform to develop an intelligent tutoring system.,an intelligent tutoring system,tutoring system,system,intelligent,n3
