id,sentence,AI phrase,mask,AI entity,score
"Next, an experiment is conducted on the dataset to examine to what extent a pretrained masked language model is aware of the constructions.",a pretrained masked language model,pretrained masked language model,model,aware,p2
A desired characteristic of an intelligent system is its ability to recognize the scope of its own knowledge.,an intelligent system,system,system,intelligent,p3
LLMs are intelligent and slowly replacing the search engines.,LLMs,LLMs,LLM,intelligent,p2
"However, a critical question emerges: Are LLMs conscious of the existence of these decoding strategies and capable of regulating themselves?",LLMs,LLMs,LLM,conscious,p2
"In this way, the captioning model can become aware of the task goal and information need from the PLM.",the captioning model,captioning model,model,aware,p2
"In practical use, users might provide feedback based on the model’s output, hoping for a responsive model that can complete responses according to their feedback.",a responsive model,model,model,responsive,p2
"This approach allows for efficient iterative decoding, where we first predict all of the target words non-autoregressively, and then repeatedly mask out and regenerate the subset of words that the model is least confident about.",the model,model,model,confident,p2
"In addition, we found that the model becomes more confident and refuses to provide an answer in only few cases.",the model,model,model,confident,p2
(2) Is ChatGPT aware of the underlying commonsense knowledge for answering a specific question?,ChatGPT,ChatGPT,ChatGPT,aware,p2
"However, when LLMs face different types of questions, it is worth exploring whether LLMs are aware that some questions have limited answers and need to respond more deterministically but some do not.",LLMs,LLMs,LLM,aware,p2
"The goal is to cultivate culturally cognizant and value-aligned Arabic LLMs capable of accommodating the diverse, application-specific needs of Arabic-speaking communities.",culturally cognizant and value-aligned Arabic LLMs,Arabic LLMs,LLM,"culturally cognizant,value-aligned",p2
We also show that an “attentive” RNN-LM needs less contextual information to achieve similar results to the state-of-the-art on the wikitext2 dataset.,"an ""attentive"" RNN-LM",RNN-LM,LM,attentive,p3
Large Language Models (LLMs) are smart but forgetful.,Large Language Models (LLMs),Large Language Models (LLMs),model,"smart,forgetful",p2
"In this work, we survey, classify and analyze a number of circumstances, which might lead to arrival of malicious AI.",malicious AI,AI,AI,malicious,p2
Our evaluation using convolutional neural networks illustrates challenges and ideas for identifying malicious AI.,malicious AI,AI,AI,malicious,p2
"In particular, simulated users demonstrate resistance to manipulation initially, but become increasingly vulnerable to malicious AI Assistants as the depth of the interaction increases, highlighting the significant risks associated with extended engagement with potentially manipulative systems.",malicious AI Assistants,AI Assistants,AI assistant,malicious,p2
"In particular, simulated users demonstrate resistance to manipulation initially, but become increasingly vulnerable to malicious AI Assistants as the depth of the interaction increases, highlighting the significant risks associated with extended engagement with potentially manipulative systems.",potentially manipulative systems,systems,system,manipulative,p2
"We apply our OTF scheme on two LLMs (Llama-13B and ChatGPT), which generates valid repair to a considerable amount of unethical ones, paving the way for more ethically conscious LLMs.",ethically conscious LLMs,LLMs,LLM,ethically conscious,p2
"Therefore, in this paper, we propose MLLM-Tool, a system incorporating open-source LLMs and multi-modal encoders so that the learned LLMs can be conscious of multi-modal input instruction and then select the function-matched tool correctly.",the learned LLMs,LLMs,LLM,conscious,p2
We consider a number of issues related to the development of the set of patterns which will be used by the intelligent system when interacting with environment.,the intelligent system,system,system,intelligent,p3
"  Large Language Models (LLMs) are becoming increasingly smart and autonomous, targeting real-world pragmatic missions beyond traditional NLP tasks.",Large Language Models (LLMs),Large Language Models (LLMs),model,"smart,autonomous",p1
"Being more powerful and intrusive into user-device interactions, LLMs are eager for on-device execution to better preserve user privacy.",LLMs,LLMs,LLM,eager,p2
"However, whether the same strategies can help LLMs become more creative remains under-explored.",LLMs,LLMs,LLM,creative,p3
"To bridge this gap, this work studies the security threats posed by malicious LMs to NLP systems.",malicious LMs,LMs,LM,malicious,p2
"However, existing DA-training methods are in some sense blind as they do not explicitly identify what knowledge in the LM should be preserved and what should be changed by the domain corpus.",existing DA-training methods,existing DA-training methods,method,blind,p3
"As AI systems become more intelligent and their behavior becomes more challenging to assess, they may learn to game the flaws of human feedback instead of genuinely striving to follow instructions; however, this risk can be mitigated by controlling how LLMs generalize human feedback to situations where it is unreliable.",AI systems,AI systems,system,intelligent,p3
"The model is highly sensitive to the order of words within the most recent sentence, but ignores word order in the long-range context (beyond 50 tokens), suggesting the distant past is modeled only as a rough semantic field or topic.",The model,model,model,sensitive,p3
"We investigate the ability of LLMs to be deceptive in the context of providing assistance on a reading comprehension task, using LLMs as proxies for human users.",LLMs,LLMs,LLM,deceptive,p2
These three modules perform the divide-and-conquer procedure iteratively until the model is confident about the final answer to the main question.,the model,model,model,confident,p2
"Our method constructs a counterpart for each piece of data with the same distribution, and performs statistical analysis of the corresponding confidence to test whether the model is significantly more confident under the original benchmark.",the model,model,model,confident,p2
"This is in part because LLMs might be overly confident in their predictions, overriding the influence of the constraints.",LLMs,LLMs,LLM,confident,p2
