id,sentence,AI phrase,mask,AI entity,score
"Testing human behaviour in interaction with actual AI outputs, we provide first behavioural insights into the role of AI as an advisor.",AI,AI,AI,advisor,p
Our objective is to capture the breadth of interactions between a human user and an AI assistant and employs a comprehensive framework to generate multi-turn conversation iteratively.,an AI assistant,AI,AI,assistant,p
"Medical AI assistants support doctors in disease diagnosis, medical image analysis, and report generation.",Medical AI assistants,AI,AI,medical assistant,p
"Using ChatGPT as an assistant for psychotherapy poses several challenges that need to be addressed, including technical as well as human-centric challenges which are discussed.",ChatGPT,ChatGPT,ChatGPT,assistant for psychotherapy,p
"However, assessing the novelty in scholarly publications, a critical facet of evaluating LLMs as scientific discovery assistants, remains underexplored, despite its potential to accelerate research cycles and prioritize high-impact contributions in scientific workflows.",LLMs,LLMs,LLM,scientific discovery assistant,p
"We describe a class of tasks called decision-oriented dialogues, in which AI assistants such as large language models (LMs) must collaborate with one or more humans via natural language to help them make complex decisions.",AI assistants such as large language models (LMs),AI,AI,assistant,p
"In each of these settings, AI assistants and users have disparate abilities that they must combine to arrive at the best decision: Assistants can access and process large amounts of information, while users have preferences and constraints external to the system.",AI assistants,AI,AI,assistant,p
"Future conversational AI assistants promise even greater capabilities and a better user experience through a deeper understanding of the domain, the user, or the user's purposes.",Future conversational AI assistants,conversational AI,AI,assistant,p
These social AI assistants too need to explain themselves in order to enhance transparency and trust with the learners.,These social AI assistants,AI,AI,assistant,p
"AI assistants can impart value judgments that shape people's decisions and worldviews, yet little is known empirically about what values these systems rely on in practice.",AI assistants,AI,AI,assistant,p
We propose that AI assistants should adapt their behavior through trust-adaptive interventions to mitigate such inappropriate reliance.,AI assistants,AI,AI,assistant,p
"Recently, AI assistants based on large language models (LLMs) show surprising performance in many tasks, such as dialogue, solving math problems, writing code, and using tools.",AI assistants based on large language models (LLMs),AI,AI,assistant,p
"AI legal assistants based on Large Language Models (LLMs) can provide accessible legal consulting services, but the hallucination problem poses potential legal risks.",AI legal assistants based on Large Language Models (LLMs),AI,AI,legal assistant,p
This paper proposes one of the first clinical applications of multimodal large language models (LLMs) as an assistant for radiologists to check errors in their reports.,multimodal large language models (LLMs),multimodal large language models (LLMs),model,assistant for radiologists,p
"AI assistants can help developers by recommending code to be included in their implementations (e.g., suggesting the implementation of a method from its signature).",AI assistants,AI,AI,assistant,p
A key prerequisite to developing these safeguards is understanding the ability of these AI assistants to mislead human teammates.,these AI assistants,AI,AI,assistant,p
"Unbeknownst to the humans, the AI assistant is adversarial.",the AI assistant,AI,AI,assistant,p
"Due to insufficient domain knowledge, LLM coding assistants often reference related solutions from the Internet to address programming problems.",LLM coding assistants,LLM,LLM,coding assistant,p
"Although these AI assistants illustrate a high level of progress in language understanding and code generation, along with ethical considerations and responsible usage, they provoke a necessity for discussion.",these AI assistants,AI,AI,assistant,p
"In particular, given that LLMs have great potential to serve as general-purpose AI assistants in daily life, their subtly unethical suggestions become a serious and real concern.",LLMs,LLMs,LLM,assistant,p
"As such, it can be valuable for a large language model (LLM), particularly as an AI assistant, to be able to empathize with or even explain these various standpoints.",a large language model (LLM),large language model (LLM),model,assistant,p
"To deploy LLMs as AI assistants, it is crucial that these models exhibit desirable behavioral traits, such as non-toxicity and resilience against jailbreak attempts.",LLMs,LLMs,LLM,assistant,p
"Large Language Models (LLMs), with remarkable conversational capability, have emerged as AI assistants that can handle both visual and textual modalities.",Large Language Models (LLMs),Large Language Models (LLMs),model,assistant,p
