id,sentence,AI phrase,mask,AI entity,score
"The end users can be domain experts, regulatory agencies, managers and executive board members, data scientists, users that use AI, with or without awareness, or someone who is affected by the decisions of an AI model.",an AI model,AI model,model,decisions,p
"On four tasks (two lexical tasks, two advanced ethical reasoning tasks), we show how a (simulated) user can interactively teach a deployed GPT-3, substantially increasing its accuracy over the queries with different kinds of misunderstandings by the GPT-3.",the GPT-3,GPT-3,GPT-3,misunderstandings,p
We investigate how inputs of humans can be altered to reduce misinterpretation by the AI system and to improve efficiency of input generation for the human while altered inputs should remain as similar as possible to the original inputs.,the AI system,AI system,system,misinterpretations,p
Actions by the AI system may be required to bring these objects in view.,the AI system,AI system,system,actions,p
"This raises the question of how we should limit the harm caused by AI ""lies"" (i.e. falsehoods that are actively selected for).",AI,AI,AI,lies,p
  Reasoning is a key ability for an intelligent system.,an intelligent system,system,system,reasoning,p  
"In this study, leveraging the POPQUORN dataset, we evaluate nine popular LLMs on their ability to understand demographic differences in two subjective judgment tasks: politeness and offensiveness.",nine popular LLMs,LLMs,LLM,ability to understand,p
We study the tendency of AI systems to deceive by constructing a realistic simulation setting of a company AI assistant.,AI systems,AI systems,system,tendency to deceive,p
"With large language models like GPT-4 taking over the field, prompting techniques such as chain-of-thought (CoT) were proposed to unlock compositional, multi-step reasoning capabilities of LLMs.",LLMs,LLMs,LLM,reasoning capabilities,p
LHMKE is designed to provide a comprehensive evaluation of the knowledge acquisition capabilities of Chinese LLMs.,Chinese LLMs,LLMs,LLM,knowledge acquisition capabilities,p
"However, this awareness of LMs has been insufficiently studied, since the computer science community lacks access to the large-scale real-world data about multi-cultural values.",LMs,LMs,LM,awareness,p
Numerous benchmarks have been established to assess the reasoning abilities of LLMs.,LLMs,LLMs,LLM,reasoning abilities,p
"Additionally, the causal reasoning ability of ChatGPT is sensitive to the words used to express the causal concept in prompts, and close-ended prompts perform better than open-ended prompts.",ChatGPT,ChatGPT,ChatGPT,causal reasoning ability,p
The evaluation framework and experimental results are expected to provide an in-depth understanding of the editorial capabilities of LLMs and speed up the development of LLMs in journalism.,LLMs,LLMs,LLM,editorial capabilities,p
We show how progress has been made in benchmark development to measure understanding capabilities of AI methods and we review as well how current methods develop understanding capabilities.,AI methods,AI methods,method,understanding capabilities,p
"Specifically, extensive experiments will be conducted to explore: 1) the personality types of different LLMs, 2) the possibility of changing the personality types by prompt engineering, and 3) How does the training dataset affect the model's personality.",different LLMs,LLMs,LLM,personality types,p
"Leveraging the strengths of Large Language Models (LLMs) in knowledge comprehension and reasoning, recent approaches are eager to apply LLMs to sequential recommendation.",Large Language Models (LLMs),Large Language Models (LLMs),model,strengths in knowledge comprehension and reasoning,p
The first approach uses an intelligent tutoring system for college algebra as a testbed to assess LLM problem-solving capabilities.,LLM,LLM,LLM,problem-solving capabilities,p
A medical consultation training set is further constructed to improve the consultation ability of LLMs.,LLMs,LLMs,LLM,consultation abilities,p
"Moreover, we provide a benchmark to evaluate the ability of LLMs to use tools, which is performed in both zero-shot and fine-tuning ways.",LLMs,LLMs,LLM,ability to use tools,p
"Inspired by the superior performance of LLMs, we leverage their capability to understand natural language for capturing the information that was previously getting lost during the conversion of unstructured data to structured form.",LLMs,LLMs,LLM,capability to understand natural language,p
"Large language models (LLMs), known for their capability in understanding and following instructions, are vulnerable to adversarial attacks.",Large language models (LLMs),Large language models (LLMs),model,capability in understanding and following instructions,p
We propose to use behavioural game theory to study LLMs' cooperation and coordination behaviour.,LLMs,LLMs,LLM,cooperation and coordination behavior,p
It is tempting to interpret these CoT explanations as the LLM's process for solving a task.,the LLM,LLM,LLM,process for solving a task,p
Explainable machine learning and artificial intelligence models have been used to justify a model's decision-making process.,a model,model,model,decision-making process,p
We also discuss issues that are unique to edge applications such as protecting a model's intellectual property and verifying its integrity.,a model,model,model,intellectual property,p
"However, all common approaches from this field are based on communicating information about features or characteristics that are especially important for an AI's decision.",an AI,AI,AI,decisions,p
We propose conceptual consistency to measure a LLM's understanding of relevant concepts.,a LLM,LLM,LLM,understanding,p
We find that the visual grounding improves the model's understanding of semantic similarity both within and across languages and improves perplexity.,the model,model,model,understanding,p
"GenRec uses LLMs' understanding ability to interpret context, learn user preferences, and generate relevant recommendation.",LLMs,LLMs,LLM,understanding abilities,p
"This study evaluates the GPT-4 Large Language Model's abductive reasoning in complex fields like medical diagnostics, criminology, and cosmology.",the GPT-4 Large Language Model,GPT-4 Large Language Model,model,abductive reasoning,p
