id,sentence,AI phrase,mask,AI entity,score
In this work-in-progress we combined the effectiveness of transfer learning provided by pre-trained masked language models with a semi-supervised approach to train a fast and compact model using labeled and unlabeled examples.,pre-trained masked language models,pre-trained masked language models,model,provide,n2
"As for the passive eavesdropping, an average secrecy rate maximization problem is formulated, which is addressed by a low complexity algorithm.",a low complexity algorithm,algorithm,algorithm,address,n2
We introduce an explainable VQA system that uses spatial and object features and is powered by the BERT language model.,the BERT language model,BERT language model,model,power,n1
A positive correlation of 0.40 was found between the emotion intensity scores reproduced by GPT-4 and those manually annotated by humans.,GPT-4,GPT-4,GPT-4,reproduce,n2
We consider a UAS that can be fully controlled by the onboard DAA system and by a remote human pilot.,the onboard DAA system,DAA system,system,control,n2
We observed 95.61% alarms raised by the said system are taken care of by the operator.,the said system,system,system,raise alarm,n1
"Moreover, the A2C model can be used to recover out-of-vocabulary (OOV) words that are not covered by the A2W model, but this requires accurate detection of OOV words.",the A2W model,A2W model,model,cover,n1
"By comparing the measurements with the results predicted by the ion flow model for negative corona discharge, it is found that the electric field at the conductor surface is proportional to the current density of the corona discharge with a negative constant of proportionality.",the ion flow model,ion flow model,model,predict,n3
The two data-driven approaches are trained using data samples generated by the BCD algorithm via supervised learning.,the BCD algorithm,BCD algorithm,algorithm,generate,n3
"The fuzzy trajectory data are developed based on different driving styles, which are clustered by the K-means algorithm.",the K-means algorithm,K-means algorithm,algorithm,cluster,n1
"For example, we ask, given a debiasing method that is developed to reduce toxicity in LMs, if the definition of toxicity used by the debiasing method is reversed, would the debiasing results also be reversed?",the debiasing method,debiasing method,method,use,n1
"Taken together, these findings support the idea that meaning construction is supported by a flexible form-to-meaning mapping system based on statistical regularities in the language environment that can accommodate novel lexical entries as soon as they are encountered.",a flexible form-to-meaning mapping system,form-to-meaning mapping system,system,support,n2
"We find that synthetic data generated by LLMs is a promising avenue of research, but further research is needed to improve the quality of the generated data and develop better filtering methods.",LLMs,LLMs,LLM,generate,n3
"Significant advancements have recently been made in large language models, represented by GPT models.",GPT models,GPT models,model,represent,n2
"  Specifically, we propose a constructor-evaluator framework, in which the code constructor is realized by AI algorithms and the code evaluator provides code performance metric measurements.",AI algorithms,AI algorithms,algorithm,realize,n2
