id,Previous Sentence,Current Sentence,Masked Sentence,Next Sentence,AI Phrase,Suggested Mask,AI Entity,Anthropomorphic Component,Target Expression,Animated
4_arx_2408.08878_2129059_6,"We discovered prompting to be a useful but undervalued skill for knowledge engineers working with LLMs, and note that natural language processing skills may become more relevant across more roles in KG construction.",Integrating LLMs into KE tasks needs to be mindful of potential risks and harms related to responsible AI.,Integrating LLMs into KE tasks needs to be mindful of potential risks and harms related to [MASK] .,"Given the limited ethical training, most knowledge engineers receive solutions such as our suggested `KG cards' based on data cards could be a useful guide for KG construction.",responsible AI,AI,AI,responsible,AI,2
4_arx_2402.05827_2003466_5,We focus on three key research questions.,RQ1: Can edited LLMs behave consistently resembling communicative AI in realistic situations?,RQ1: Can edited LLMs behave consistently resembling [MASK] in realistic situations?,RQ2: To what extent does the rephrasing of prompts lead LLMs to deviate from the edited knowledge memory?,communicative AI,AI,AI,communicative,AI,2
4_arx_1904.13086_1118126_10,Simply putting a human into the loop does not assure that the human will meaningfully contribute to the outcomes.,"The results demonstrate the descriptive value of the ResQu model to predict behavior and perceptions of responsibility by considering the characteristics of the human, the intelligent system, the environment and some systematic behavioral biases.","The results demonstrate the descriptive value of the ResQu model to predict behavior and perceptions of responsibility by considering the characteristics of the human, [MASK] , the environment and some systematic behavioral biases.",The ResQu model is a new quantitative method that can be used in system design and can guide policy and legal decisions regarding human responsibility in events involving intelligent systems.,the intelligent system,system,system,intelligent,system,2
4_acl_335_27056_3,We develop a typology of epistemic markers and inject 50 markers into prompts for question answering.,"We find that LMs are highly sensitive to epistemic markers in prompts, with accuracies varying more than 80%.","We find that [MASK] are highly sensitive to epistemic markers in prompts, with accuracies varying more than 80%.","Surprisingly, we find that expressions of high certainty result in a 7% decrease in accuracy as compared to low certainty expressions; similarly, factive verbs hurt performance, while evidentials benefit performance.",LMs,LMs,LM,sensitive,LMs,2
4_acl_12_46472_3,"Our findings reveal low-to-moderate agreement among LLMs and humans, reflecting the complexity of the task.",Analysis shows that LLMs are sensitive to subtle contextual changes and often rely on surface-level cues.,Analysis shows that [MASK] are sensitive to subtle contextual changes and often rely on surface-level cues.,"Humans, too, may interpret relationships differently, leading to disagreements in annotations.",LLMs,LLMs,LLM,sensitive,LLMs,2
4_arx_2405.16310_2073522_7,Our work reveals additional types of trustors and trustees and new factors impacting their trust relationships.,"These relationships were found to be central to the development and adoption of LLMs, but they can also be the terrain for uncalibrated trust and reliance on untrustworthy LLMs.","These relationships were found to be central to the development and adoption of [MASK], but they can also be the terrain for uncalibrated trust and reliance on untrustworthy [MASK] .","Based on these findings, we discuss the implications for research on `trust in AI'.",untrustworthy LLMs,LLMs,LLM,untrustworthy,LLMs,2
4_arx_1906.03595_1135781_6,"This paper proposes a approach to design a creative and collaborative intelligence by employing a form of distributed machine learning approach called Federated Learning along with fusion on Generative Adversarial Networks, GAN.","This collaborative creative AI presents a new paradigm in AI, one that lets a team of two or more to come together to imagine and envision ideas that synergies well with interests of all members of the team.","This collaborative creative [MASK] presents a new paradigm in [MASK] , one that lets a team of two or more to come together to imagine and envision ideas that synergies well with interests of all members of the team.","In short, this paper explores the design of a novel type of AI paradigm, called Federated AI Imagination, one that lets geographically distributed teams to collaboratively imagine.",This collaborative creative AI,AI,AI,"collaborative,creative",AI,2
4_acl_128_54380_3,"We discover a simple hands-on principle: in a multi-layer input embedding model, layers should be tied consecutively bottom-up if reused at output.",Our best morpheme-aware model with properly reused weights beats the competitive word-level model by a large margin across multiple languages and has 20%-87% fewer parameters.,Our best morpheme-aware model with properly reused weights beats [MASK] by a large margin across multiple languages and has 20%-87% fewer parameters.,,the competitive word-level model,word-level model,model,competitive,word-level model,2
4_acl_94_36582_1,"Large language models (LLMs) have demonstrated superior performance compared to previous methods on various tasks, and often serve as the foundation models for many researches and services.","However, the untrustworthy third-party LLMs may covertly introduce vulnerabilities for downstream tasks.","However, [MASK] may covertly introduce vulnerabilities for downstream tasks.","In this paper, we explore the vulnerability of LLMs through the lens of backdoor attacks.",the untrustworthy third-party LLMs,third-party LLMs,LLM,untrustworthy,third-party LLMs,2
4_arx_2207.00477_1676375_2,While the airports are more likely to become hotspots for potential conflicts to break out which can cause serious delays to flights and several safety issues.,"An intelligent algorithm which renders security surveillance more effective in detecting conflicts would bring many benefits to the passengers in terms of their safety, finance, and travelling efficiency.","[MASK] which renders security surveillance more effective in detecting conflicts would bring many benefits to the passengers in terms of their safety, finance, and travelling efficiency.",This paper details the development of a machine learning model to classify conflicting behaviour in a crowd.,An intelligent algorithm,algorithm,algorithm,intelligent,algorithm,2
