id,Previous Sentence,Current Sentence,Masked Sentence,Next Sentence,AI Phrase,Suggested Mask,AI Entity,Anthropomorphic Component,Target Expression,Animated
1_acl_141_6586_10,Our model outperforms not only state-of-the-art neural models near 3 percent but also the latest statistic model.,"Especially on the two narrative prompts, our model performs much better than all other state-of-the-art models.","Especially on the two narrative prompts, [MASK] performs much better than all other state-of-the-art models.",,our model,model,model,perform,model,0
1_arx_2304.09655_1827701_1,"In recent years, large language models have been responsible for great advances in the field of artificial intelligence (AI).","ChatGPT in particular, an AI chatbot developed and recently released by OpenAI, has taken the field to the next level.","[MASK] in particular, an AI chatbot developed and recently released by OpenAI, has taken the field to the next level.","The conversational model is able not only to process human-like text, but also to translate natural language into code.",ChatGPT,ChatGPT,ChatGPT,take the field to the next level,ChatGPT,0
1_arx_2304.06122_1824168_2,"One potential use, or abuse, of ChatGPT is in answering various questions or even generating whole essays and research papers in an academic or classroom setting.","While recent works have explored the use of ChatGPT in the context of humanities, business school, or medical school, this work explores how ChatGPT performs in the context of an introductory computer engineering course.","While recent works have explored the use of [MASK] in the context of humanities, business school, or medical school, this work explores how [MASK] performs in the context of an introductory computer engineering course.","This work assesses ChatGPT's aptitude in answering quizzes, homework, exam, and laboratory questions in an introductory-level computer engineering course.",ChatGPT,ChatGPT,ChatGPT,perform,ChatGPT,0
1_arx_2304.02796_1820842_4,"In this paper, we provide a concise review of the classification and representation of design knowledge, and past efforts to support designers in acquiring knowledge.",We analyze the opportunities and challenges that ChatGPT presents for knowledge management in design and propose promising future research directions.,We analyze the opportunities and challenges that [MASK] presents for knowledge management in design and propose promising future research directions.,"A case study is conducted to validate the advantages and drawbacks of ChatGPT, showing that designers can acquire targeted knowledge from various domains, but the quality of the acquired knowledge is highly dependent on the prompt.",ChatGPT,ChatGPT,ChatGPT,present challenges and opportunities,ChatGPT,0
1_arx_2210.17127_1738482_1,,"Recent research has revealed that neural language models at scale suffer from poor temporal generalization capability, i.e., the language model pre-trained on static data from past years performs worse over time on emerging data.","Recent research has revealed that neural language models at scale suffer from poor temporal generalization capability, i.e., [MASK] pre-trained on static data from past years performs worse over time on emerging data.",Existing methods mainly perform continual training to mitigate such a misalignment.,neural language models at scale,neural language models,model,suffer from poor temporal generalization capability,neural language models,0
1_arx_2303.12767_1812564_0,We discuss the challenge of preventing data contamination and ensuring fair model evaluation in the age of closed and continuously trained models.,"ChatGPT, the first large language model (LLM) with mass adoption, has demonstrated remarkable performance in numerous natural language tasks.","[MASK] , the first large language model (LLM) with mass adoption, has demonstrated remarkable performance in numerous natural language tasks.","Despite its evident usefulness, evaluating ChatGPT's performance in diverse problem domains remains challenging due to the closed nature of the model and its continuous updates via Reinforcement Learning from Human Feedback (RLHF).",ChatGPT,ChatGPT,ChatGPT,demonstrate,ChatGPT,0
1_arx_2304.04780_1822826_0,The discussion of this work will contribute to the formalization of the XAI field.,Artificial intelligence (AI) models are increasingly finding applications in the field of medicine.,[MASK] are increasingly finding applications in the field of medicine.,Concerns have been raised about the explainability of the decisions that are made by these AI models.,Artificial intelligence (AI) models,Artificial intelligence (AI) models,model,find applications,Artificial intelligence (AI) models,0
1_arx_2304.05613_1823659_1,"Over the last few years, large language models (LLMs) have emerged as the most important breakthroughs in natural language processing (NLP) that fundamentally transform research and developments in the field.",ChatGPT represents one of the most exciting LLM systems developed recently to showcase impressive skills for language generation and highly attract public attention.,[MASK] represents one of the most exciting LLM systems developed recently to showcase impressive skills for language generation and highly attract public attention.,"Among various exciting applications discovered for ChatGPT in English, the model can process and generate texts for multiple languages due to its multilingual training data.",ChatGPT,ChatGPT,ChatGPT,represent,ChatGPT,0
1_arx_2304.06488_1824534_6,"Overall, this work is the first to survey ChatGPT with a comprehensive review of its underlying technology, applications, and challenges.","Moreover, we present an outlook on how ChatGPT might evolve to realize general-purpose AIGC (a.k.a. AI-generated content), which will be a significant milestone for the development of AGI.","Moreover, we present an outlook on how [MASK] might evolve to realize general-purpose AIGC (a.k.a. AI-generated content), which will be a significant milestone for the development of AGI.",,ChatGPT,ChatGPT,ChatGPT,evolve,ChatGPT,0
1_arx_2304.09433_1827479_3,"In this work, we ask whether we can maintain generality by using large language models (LLMs).","LLMs, which are pretrained on broad data, can perform diverse downstream tasks simply conditioned on natural language task descriptions.","[MASK] , which are pretrained on broad data, can perform diverse downstream tasks simply conditioned on natural language task descriptions.","We propose and evaluate EVAPORATE, a simple, prototype system powered by LLMs.",LLMs,LLMs,LLM,perform,LLMs,0
1_acl_18_8507_4,The paraphrasing results were again filtered using our classifier.,"While the use of additional data and our classifier filter were able to improve results, the paraphrasing model produced too many invalid outputs to further improve the output quality.","While the use of additional data and our classifier filter were able to improve results, [MASK] produced too many invalid outputs to further improve the output quality.","Our model without the paraphrasing component finished in the middle of the field for the shared task, improving over the best baseline by a margin of 10-22 % weighted F1 absolute.",the paraphrasing model,paraphrasing model,model,produce,paraphrasing model,0
1_acl_19_9312_0,The performance of this system is evaluated on Myanmar image caption corpus using BLEU scores and 10-fold cross validation.,An image captioning system involves modules on computer vision as well as natural language processing.,[MASK] involves modules on computer vision as well as natural language processing.,Computer vision module is for detecting salient objects or extracting features of images and Natural Language Processing (NLP) module is for generating correct syntactic and semantic image captions.,An image captioning system,image captioning system,system,involve,image captioning system,0
1_acl_11_13818_6,We show that it is possible to train competitive multilingual language models on less than 1 GB of text.,"Our model, named AfriBERTa, covers 11 African languages, including the first language model for 4 of these languages.","[MASK] , named AfriBERTa, covers 11 African languages, including the first language model for 4 of these languages.",Evaluations on named entity recognition and text classification spanning 10 languages show that our model outperforms mBERT and XLM-Rin several languages and is very competitive overall.,Our model,model,model,cover,model,0
1_arx_2304.07232_1825278_3,"We decided to evaluate the model because it has shown good performance on other code-based tasks, such as solving programming challenges and understanding code at a high level.","However, we found that the ChatGPT model performed no better than a dummy classifier for both binary and multi-label classification tasks for code vulnerability detection.","However, we found that [MASK] performed no better than a dummy classifier for both binary and multi-label classification tasks for code vulnerability detection.",,the ChatGPT model,ChatGPT model,model,perform,ChatGPT model,0
