id,Previous Sentence,Current Sentence,Masked Sentence,Next Sentence,AI Phrase,Suggested Mask,AI Entity,Anthropomorphic Component,Target Expression,Animated
2_acl_119_34984_3,It is thus crucial for agents to adeptly handle the inherent ambiguity in queries to ensure reliability.,"However, even state-of-the-art large language models (LLMs) still face challenges in such scenarios, primarily due to the following hurdles: (1) LLMs are not explicitly trained to deal with ambiguous utterances; (2) the degree of ambiguity perceived by the LLMs may vary depending on the possessed knowledge.","However, even state-of-the-art large language models (LLMs) still face challenges in such scenarios, primarily due to the following hurdles: (1) LLMs are not explicitly trained to deal with ambiguous utterances; (2) the degree of ambiguity perceived by the [MASK] may vary depending on the possessed knowledge.","To address these issues, we propose Alignment with Perceived Ambiguity (APA), a novel pipeline that aligns LLMs to manage ambiguous queries by leveraging their own assessment of ambiguity (i.e., perceived ambiguity).",the LLMs,LLMs,LLM,perceive,LLMs,1
2_acl_738_35585_4,"Specifically, we query the model to generate a fallacious yet deceptively real procedure for the harmful behavior.","Since a fallacious procedure is generally considered fake and thus harmless by LLMs, it helps bypass the safeguard mechanism.","Since a fallacious procedure is generally considered fake and thus harmless by [MASK] , it helps bypass the safeguard mechanism.",Yet the output is factually harmful since the LLM cannot fabricate fallacious solutions but proposes truthful ones.,LLMs,LLMs,LLM,consider,LLMs,1
2_acl_304_37076_3,Current jailbreak attacks primarily utilize scenario camouflage techniques.,However their explicitly mention of malicious intent will be easily recognized and defended by LLMs.,However their explicitly mention of malicious intent will be easily recognized and defended by [MASK] .,"In this paper, we propose an indirect jailbreak attack approach, Puzzler, which can bypass the LLM’s defensive strategies and obtain malicious response by implicitly providing LLMs with some clues about the original malicious query.",LLMs,LLMs,LLM,"recognize,defend",LLMs,1
2_acl_305_37077_7,Our findings convincingly demonstrate that synthetic clinical notes can serve as viable substitutes for real ones when constructing high-performing clinical language models.,This conclusion is supported by detailed evaluations conducted by both GPT-4 and medical professionals.,This conclusion is supported by detailed evaluations conducted by both [MASK] and medical professionals.,"All resources—including weights, codes, and data—used in the development of Asclepius will be made publicly accessible for future research.",GPT-4,GPT-4,GPT-4,conduct,GPT-4,1
2_acl_687_35537_5,"Upon carefully controlling the nature of the in-context examples and the instructions, our work reveals that they can indeed lead to non-trivial property inheritance behavior in LMs.","However, this ability is inconsistent: with a minimal reformulation of the task, some LMs were found to pick up on shallow, non-semantic heuristics from their inputs, suggesting that the computational principles of semantic property inference are yet to be mastered by LMs.","However, this ability is inconsistent: with a minimal reformulation of the task, some [MASK] were found to pick up on shallow, non-semantic heuristics from their inputs, suggesting that the computational principles of semantic property inference are yet to be mastered by LMs.",,LMs,LMs,LM,master,LMs,1
2_acl_687_35537_5,"Upon carefully controlling the nature of the in-context examples and the instructions, our work reveals that they can indeed lead to non-trivial property inheritance behavior in LMs.","However, this ability is inconsistent: with a minimal reformulation of the task, some LMs were found to pick up on shallow, non-semantic heuristics from their inputs, suggesting that the computational principles of semantic property inference are yet to be mastered by LMs.","However, this ability is inconsistent: with a minimal reformulation of the task, some LMs were found to pick up on shallow, non-semantic heuristics from their inputs, suggesting that the computational principles of semantic property inference are yet to be mastered by [MASK] .",,LMs,LMs,LM,master,LMs,1
2_arx_1811.00189_1044822_2,"For this purpose, we propose reversible adversarial example (RAE), a new type of adversarial example.",A remarkable feature of RAE is that the image can be correctly recognized and used by the AI model specified by the user because the authorized AI can recover the original image from the RAE exactly by eliminating adversarial perturbation.,A remarkable feature of RAE is that the image can be correctly recognized and used by the [MASK] specified by the user because the authorized AI can recover the original image from the RAE exactly by eliminating adversarial perturbation.,"On the other hand, other unauthorized AI models cannot recognize it correctly because it functions as an adversarial example.",the AI model,AI model,model,"recognize,use",AI model,1
2_arx_2204.03332_1633470_10,We show that the performance estimation accuracy of the proposed model is higher than 90%.,"We also demonstrate, that the considered system possesses a counter-intuitive relationship between workload and performance, which nevertheless is correctly inferred by the proposed simulation model.","We also demonstrate, that the considered system possesses a counter-intuitive relationship between workload and performance, which nevertheless is correctly inferred by the proposed [MASK] .",,the proposed simulation model,simulation model,model,infer,simulation model,1
2_arx_1811.00189_1044822_0,"Experimental results show that the proposed method can achieve comparable attack ability with the corresponding adversarial attack method and similar visual quality with the original image, including white-box attacks and black-box attacks.","In this study, we propose a new methodology to control how user's data is recognized and used by AI via exploiting the properties of adversarial examples.","In this study, we propose a new methodology to control how user's data is recognized and used by [MASK] via exploiting the properties of adversarial examples.","For this purpose, we propose reversible adversarial example (RAE), a new type of adversarial example.",AI,AI,AI,"recognize,use",AI,1
2_arx_1910.04404_1188323_0,We then review the state of the art and discuss research directions towards efficient methodologies and algorithms for generating explanations that will increase users' satisfaction from AI system's decisions in multi-agent environments.,Explanation is necessary for humans to understand and accept decisions made by an AI system when the system's goal is known.,Explanation is necessary for humans to understand and accept decisions made by an [MASK] when the system's goal is known.,It is even more important when the AI system makes decisions in multi-agent environments where the human does not know the systems' goals since they may depend on other agents' preferences.,an AI system,AI system,system,make a decision,AI system,1
2_arx_2012.08285_1396163_1,"Each generation of cellular communication systems is marked by a defining disruptive technology of its time, such as orthogonal frequency division multiplexing (OFDM) for 4G or Massive multiple-input multiple-output (MIMO) for 5G. Since artificial intelligence (AI) is the defining technology of our time, it is natural to ask what role it could play for 6G. While it is clear that 6G must cater to the needs of large distributed learning systems, it is less certain if AI will play a defining role in the design of 6G itself.","The goal of this article is to paint a vision of a new air interface which is partially designed by AI to enable optimized communication schemes for any hardware, radio environment, and application.","The goal of this article is to paint a vision of a new air interface which is partially designed by [MASK] to enable optimized communication schemes for any hardware, radio environment, and application.",,AI,AI,AI,design,AI,1
