id,Previous Sentence,Current Sentence,Masked Sentence,Next Sentence,AI Phrase,Suggested Mask,AI Entity,Anthropomorphic Component,Target Expression,Animated
1_acl_586_6176_1,"The success of large pretrained language models (LMs) such as BERT and RoBERTa has sparked interest in probing their representations, in order to unveil what types of knowledge they implicitly capture.","While prior research focused on morphosyntactic, semantic, and world knowledge, it remains unclear to which extent LMs also derive lexical type-level knowledge from words in context.","While prior research focused on morphosyntactic, semantic, and world knowledge, it remains unclear to which extent [MASK] also derive lexical type-level knowledge from words in context.","In this work, we present a systematic empirical analysis across six typologically diverse languages and five different lexical tasks, addressing the following questions: 1) How do different lexical knowledge extraction strategies (monolingual versus multilingual source LM, out-of-context versus in-context encoding, inclusion of special tokens, and layer-wise averaging) impact performance?",LMs,LMs,LM,derive knowledge,LMs,2
1_acl_5_9514_1,"BERT is a popular language model whose main pre-training task is to fill in the blank, i.e., predicting a word that was masked out of a sentence, based on the remaining words.","In some applications, however, having an additional context can help the model make the right prediction, e.g., by taking the domain or the time of writing into account.","In some applications, however, having an additional context can help the [MASK] make the right prediction, e.g., by taking the domain or the time of writing into account.",This motivates us to advance the BERT architecture by adding a global state for conditioning on a fixed-sized context.,the model,model,model,make a prediction,model,2
1_acl_65_19388_5,Embeddings created with BERT were used together with UMAP and HDBSCAN to model the topics.,The human evaluation found that our topic model creates coherent topics.,The human evaluation found that our [MASK] creates coherent topics.,The following discussion revolves around the requirements of industry and what research is needed for production-ready systems.,our topic model,topic model,model,create,topic model,2
1_acl_22_31716_3,"Nevertheless, several recent papers provide empirical evidence that LLMs fail to capture important aspects of linguistic meaning.","Focusing on universal quantification, we provide a theoretical foundation for these empirical findings by proving that LLMs cannot learn certain fundamental semantic properties including semantic entailment and consistency as they are defined in formal semantics.","Focusing on universal quantification, we provide a theoretical foundation for these empirical findings by proving that [MASK] cannot learn certain fundamental semantic properties including semantic entailment and consistency as they are defined in formal semantics.","More generally, we show that LLMs are unable to learn concepts beyond the first level of the Borel Hierarchy, which imposes severe limits on the ability of LMs, both large and small, to capture many aspects of linguistic meaning.",LLMs,LLMs,LLM,learn,LLMs,2
1_acl_163_34648_5,"Secondly, we present Persona-Aware-D2S, a novel approach by finetuning LLMs using target audience feedback to create persona-aware slides from scientific documents.","Our evaluation on both automated metrics and qualitative human evaluation suggests that by incorporating end-user specifications into the conversion process, our model can create presentations that are not only informative but also tailored to expectations and cognitive abilities of the target audience.","Our evaluation on both automated metrics and qualitative human evaluation suggests that by incorporating end-user specifications into the conversion process, our [MASK] can create presentations that are not only informative but also tailored to expectations and cognitive abilities of the target audience.",,our model,model,model,create,model,2
1_arx_2110.10185_1548328_5,"These controls allow users to globally constrain model generations, without sacrificing the representation power of the deep learning models.",The visual interface makes it possible for users to interact with AI systems following a Refine-Forecast paradigm to ensure that the generation system acts in a manner human users find suitable.,The visual interface makes it possible for users to interact with AI systems following a Refine-Forecast paradigm to ensure that the [MASK] acts in a manner human users find suitable.,"We report multiple use cases on two experiments that improve over uncontrolled generation approaches, while at the same time providing fine-grained control.",the generation system,generation system,system,act,generation system,2
1_arx_2212.07414_1763591_5,"Thus, we propose hierarchical over-the-air (HOTA) PFL with a dynamic weighting strategy which we call HOTA-FedGradNorm.",Our algorithm considers the channel conditions during the dynamic weight selection process.,Our [MASK] considers the channel conditions during the dynamic weight selection process.,We conduct experiments on a wireless communication system dataset (RadComDynamic).,Our algorithm,algorithm,algorithm,consider,algorithm,2
1_arx_1101.3316_238729_3,"To estimate the efficiency and the accuracy of the model, we perform a cross-validation test using the training set.",The test shows that the model correctly identifies ~80% of known QSOs with a 25% false positive rate.,The test shows that the [MASK] correctly identifies ~80% of known QSOs with a 25% false positive rate.,The majority of the false positives are Be stars.,the model,model,model,identify,model,2
1_arx_1205.6986_345987_9,"In data from Arabidopsis thaliana and mouse, our method is able to find a genetic cause for significantly greater fractions of phenotype variation in 91% of the phenotypes considered.","At the same time, our model dissects this variability into components that result from individual SNP effects and population structure.","At the same time, our [MASK] dissects this variability into components that result from individual SNP effects and population structure.","In addition to this increase of genetic heritability, enrichment of known candidate genes suggests that the associations retrieved by LMM-Lasso are more likely to be genuine.",our model,model,model,dissect,model,2
1_arx_2302.04335_1789269_6,Our results manifest that ChatGPT has a great potential to generate sophisticated text outputs without being well caught by the plagiarism check software.,"In other words, ChatGPT can create content on many topics with high originality as if they were written by someone.","In other words, [MASK] can create content on many topics with high originality as if they were written by someone.",These findings align with the recent concerns about students using chatbots for an easy shortcut to success with minimal or no effort.,ChatGPT,ChatGPT,ChatGPT,create,ChatGPT,2
1_acl_154_25214_1,A number of recent benchmarks seek to assess how well models handle natural language negation.,"However, these benchmarks lack the controlled example paradigms that would allow us to infer whether a model had truly learned how negation morphemes semantically scope.","However, these benchmarks lack the controlled example paradigms that would allow us to infer whether a [MASK] had truly learned how negation morphemes semantically scope.","To fill these analytical gaps, we present the Scoped Negation NLI (ScoNe-NLI) benchmark, which contains contrast sets of six examples with up to two negations where either zero, one, or both negative morphemes affect the NLI label.",a model,model,model,learn,model,2
1_acl_852_33014_0,We believe that DocMath-Eval can serve as a valuable benchmark for evaluating LLMs' capabilities in solving challenging numerical reasoning problems within expert domains.,Recent LLMs have demonstrated remarkable performance in solving exam-like math word problems.,Recent [MASK] have demonstrated remarkable performance in solving exam-like math word problems.,"However, the degree to which these numerical reasoning skills are effective in real-world scenarios, particularly in expert domains, is still largely unexplored.",Recent LLMs,LLMs,LLM,demonstrate,LLMs,2
1_acl_2_34276_7,"We conduct two evaluation experiments in the Polish language scenario, using a dataset presumably unfamiliar to LLMs to mitigate the risk of data contamination.","Our results show that not all extracted utterances are correctly structured, indicating that either LLMs do not fully acquire syntactic-semantic rules or they acquire them but cannot apply them effectively.","Our results show that not all extracted utterances are correctly structured, indicating that either [MASK] do not fully acquire syntactic-semantic rules or they acquire them but cannot apply them effectively.",We conclude that the ability of LLMs to comprehend noisy utterances is still relatively superficial compared to human proficiency in processing them.,LLMs,LLMs,LLM,acquire,LLMs,2
1_acl_53_34920_6,An additional experiment showed that this learning is enhanced when there is more variability in the input.,"Taken together, our results provide an existence proof that LMs can learn rare grammatical phenomena by generalization from less rare phenomena.","Taken together, our results provide an existence proof that [MASK] can learn rare grammatical phenomena by generalization from less rare phenomena.",Data and code: https://github.com/kanishkamisra/aannalysis.,LMs,LMs,LM,learn,LMs,2
1_acl_24_17147_6,We also experiment with different prompt designs and temperatures of the decoding method.,"Our experiment results suggest that GPT-3 has acquired linguistic knowledge to identify certain semantic information in most cases, but still fails when there are some types of disturbance happening in the sentence.","Our experiment results suggest that [MASK] has acquired linguistic knowledge to identify certain semantic information in most cases, but still fails when there are some types of disturbance happening in the sentence.",We also perform error analysis to summarize some common types of mistakes that GPT-3 has made when dealing with certain semantic information.,GPT-3,GPT-3,GPT-3,"acquire,fail",GPT-3,2
1_arx_1205.3313_342314_2,SDM is a particle-based and probabilistic approach in which a Monte-Carlo type algorithm is used for solving the particle collisions and coalescence process.,"The model does not differentiate between aerosol particles, cloud droplets, drizzle or rain drops.","The [MASK] does not differentiate between aerosol particles, cloud droplets, drizzle or rain drops.","Consequently, it covers representation of such cloud-microphysical processes as: CCN activation, drizzle formation by autoconversion, accretion of cloud droplets, self-collection of raindrops and precipitation including aerosol wet deposition.",The model,model,model,differentiate,model,2
