id,Previous Sentence,Current Sentence,Masked Sentence,Next Sentence,AI Phrase,Suggested Mask,AI Entity,Anthropomorphic Component,Target Expression,Animated
4_acl_14_42916_4,"However, in Hate-Speech and Emotion Detection, using a Few-Shot approach, state-of-the-art performance can be achieved.","The results also reveal that GPT-4 is more sensitive to the examples given in a Few-Shot prompt, highlighting the importance of choosing fitting examples for inference and prompt formulation.","The results also reveal that <mask> is more sensitive to the examples given in a Few-Shot prompt, highlighting the importance of choosing fitting examples for inference and prompt formulation.",,GPT-4,GPT-4,GPT-4,sensitive,GPT-4,0
4_arx_2410.02110_2160311_2,"While recent studies show the promise of using large language models (LLMs) for simulating human behavior, such approaches have not gone beyond rudimentary proof-of-concept stages due to key limitations.","First, LLMs are highly sensitive to minor prompt variations, raising doubts about their ability to generalize to new scenarios without extensive prompt engineering.","First, <mask> are highly sensitive to minor prompt variations, raising doubts about their ability to generalize to new scenarios without extensive prompt engineering.","Moreover, apparently successful outcomes can often be unreliable, either because domain experts unintentionally guide LLMs to produce expected results, leading to self-fulfilling prophecies; or because the LLM has encountered highly similar scenarios in its training data, meaning that models may not be simulating behavior so much as regurgitating memorized content.",LLMs,LLMs,LLM,sensitive,LLMs,0
4_acl_877_29913_4,"In this work, we analyze how well contemporary LLMs capture human concepts and their structure.","We then discuss ways to develop concept-aware LLMs, taking place at different stages of the pipeline.","We then discuss ways to develop concept-aware <mask>, taking place at different stages of the pipeline.","We sketch a method for pretraining LLMs using concepts, and also explore the simpler approach that uses the output of existing LLMs.",concept-aware LLMs,LLMs,LLM,concept-aware,LLMs,0
4_arx_2405.20189_2077401_0,This design has brought forth the advancement of social robots and aims to increase the quality of human-robot interaction.,"In this work, we describe our approach to developing an intelligent and robust social robotic system for the Nadine social robot platform.","In this work, we describe our approach to developing an intelligent and robust <mask> for the Nadine social robot platform.",We achieve this by integrating Large Language Models (LLMs) and skilfully leveraging the powerful reasoning and instruction-following capabilities of these types of models to achieve advanced human-like affective and cognitive capabilities.,an intelligent and robust social robotic system,social robotic system,system,"intelligent,robust",social robotic system,0
4_acl_18_54647_0,We demonstrate two intelligent agents with specialized skills in the Blocks World as use-cases of our system.,We demonstrate an intelligent conversational agent system designed for advancing human-machine collaborative tasks.,We demonstrate an intelligent <mask> designed for advancing human-machine collaborative tasks.,"The agent is able to interpret a user’s communicative intent from both their verbal utterances and non-verbal behaviors, such as gestures.",an intelligent conversational agent system,conversational agent system,system,"intelligent,conversational",conversational agent system,0
4_arx_1211.2736_384982_3,Some researchers came up with hybrid mechanisms by combining two or more methods.,"In an effort to construct an intelligent computer system, a primary consideration is to represent large amounts of knowledge in a way that allows effective use and efficiently organizing information to facilitate making the recommended inferences.","In an effort to construct an intelligent <mask>, a primary consideration is to represent large amounts of knowledge in a way that allows effective use and efficiently organizing information to facilitate making the recommended inferences.","There are merits and demerits of combinations, and standardized method of KR is needed.",an intelligent computer system,computer system,system,intelligent,computer system,0
4_acl_906_35749_0,"Further analysis shows that more popular knowledge is memorized better, easier to recall, and more challenging to edit effectively.","Large language models (LLMs) have played a pivotal role in building communicative AI, yet they encounter the challenge of efficient updates.","Large language models (LLMs) have played a pivotal role in building communicative <mask>, yet they encounter the challenge of efficient updates.",Model editing enables the manipulation of specific knowledge memories and the behavior of language generation without retraining.,communicative AI,AI,AI,communicative,AI,0
4_arx_2112.07467_1577243_0,We also present suggestions aiming to enhance associated support mechanisms.,"As consensus across the various published AI ethics principles is approached, a gap remains between high-level principles and practical techniques that can be readily adopted to design and develop responsible AI systems.","As consensus across the various published AI ethics principles is approached, a gap remains between high-level principles and practical techniques that can be readily adopted to design and develop responsible <mask>.","We examine the practices and experiences of researchers and engineers from Australia's national scientific research agency (CSIRO), who are involved in designing and developing AI systems for many application areas.",responsible AI systems,AI systems,system,responsible,AI systems,0
4_arx_2409.15293_2152925_6,"Visionary, Strategic, Supportive, and Operational.",A novel implementation is proposed to create an intelligent team optimization algorithm.,A novel implementation is proposed to create an intelligent <mask>.,"Implications for theory and practice are discussed, along with directions for future research.",intelligent team optimization algorithm,team optimization algorithm,algorithm,intelligent,team optimization algorithm,0
4_acl_906_35749_3,"However, the robustness of model editing remains an open question.","This work seeks to understand the strengths and limitations of editing methods, facilitating practical applications of communicative AI.","This work seeks to understand the strengths and limitations of editing methods, facilitating practical applications of communicative <mask>.",We focus on three key research questions.,communicative AI,AI,AI,communicative,AI,0
4_arx_2410.21091_2179292_6,"Contrary to the common belief for speech interfaces, AssistVR was able to outperform the baseline even when the target objects were difficult to reference verbally.",This work demonstrates the viability and interaction potential of an intelligent multimodal interactive system powered by large laguage models.,This work demonstrates the viability and interaction potential of an intelligent <mask> powered by large laguage models.,"Based on the results, we discuss the implications for design of future intelligent multimodal interactive systems in immersive environments.",intelligent multimodal interactive system,multimodal interactive system,system,intelligent,multimodal interactive system,0
4_arx_2207.00340_1676238_4,"We calibrated the method for a set of compounds (styrene, acetone, ethanol and isopropanol) by using both laboratory and portable infrared spectrometers.","The aim was to develop a new, real time and highly sensitive sensor system for VOCs monitoring.","The aim was to develop a new, real time and highly sensitive <mask> for VOCs monitoring.","In this paper, we improve the setup performance testing the feasibility of using a multipass cell with the aim of extending the sensitivity of this sensor system down to the part per milion (ppb) level.","a new, real time and highly sensitive sensor system",sensor system,system,sensitive,sensor system,0
4_arx_2402.09442_2007081_0,"Therefore, this paper is based on the intelligent sound monitoring and recognition system of TENG, which has good sound recognition capability, and aims to evaluate the feasibility of the sound perception module architecture in ubiquitous sensor networks.","In the era of Internet of Things, how to develop a smart sensor system with sustainable power supply, easy deployment and flexible use has become a difficult problem to be solved.","In the era of Internet of Things, how to develop a smart <mask> with sustainable power supply, easy deployment and flexible use has become a difficult problem to be solved.","The traditional power supply has problems such as frequent replacement or charging when in use, which limits the development of wearable devices.",a smart sensor system,sensor system,system,smart,sensor system,0
4_arx_2405.13024_2070236_0,"Initial implementation highlights the system's potential in boosting students' motivation and engagement, while equipping educators with critical insights into the learning process, thus promoting tailored educational experiences and enhancing instructional effectiveness.",This study explores the integration of the ChatGPT API with GPT-4 model and Microsoft Copilot Studio on the Microsoft Teams platform to develop an intelligent tutoring system.,This study explores the integration of the ChatGPT API with GPT-4 model and Microsoft Copilot Studio on the Microsoft Teams platform to develop an intelligent <mask>.,"Designed to provide instant support to students, the system dynamically adjusts educational content in response to the learners' progress and feedback.",an intelligent tutoring system,tutoring system,system,intelligent,tutoring system,0
4_arx_2412.12563_2214941_4,"We evaluate the proposed passthrough layers on a wide range of downstream tasks, and show experimentally our watermarking method achieves a near-perfect watermark extraction accuracy and false-positive rate in most cases without damaging original model performance.","Additionally, we show our method is robust to both downstream fine-tuning, fine-pruning, and layer removal attacks, and can be trained in a fraction of the time required to train the original model.","Additionally, we show our <mask> is robust to both downstream fine-tuning, fine-pruning, and layer removal attacks, and can be trained in a fraction of the time required to train the original model.",Code is available in the paper.,our method,method,method,robust,method,0
4_arx_1511.03246_676426_2,In popular culture (science fiction movies/books) AIs/Robots became self-aware and as a result rebel against humanity and decide to destroy it.,"While it is one possible scenario, it is probably the least likely path to appearance of dangerous AI.","While it is one possible scenario, it is probably the least likely path to appearance of dangerous <mask>.","In this work, we survey, classify and analyze a number of circumstances, which might lead to arrival of malicious AI.",dangerous AI,AI,AI,dangerous,AI,0
4_arx_1711.05541_912551_1,It is possible that powerful and potentially dangerous artificial intelligence (AI) might be developed in the future.,An Oracle is a design which aims to restrain the impact of a potentially dangerous AI by restricting the agent to no actions besides answering questions.,An Oracle is a design which aims to restrain the impact of a potentially dangerous <mask> by restricting the agent to no actions besides answering questions.,"Unfortunately, most Oracles will be motivated to gain more control over the world by manipulating users through the content of their answers, and Oracles of potentially high intelligence might be very successful at this \citep{DBLP:journals/corr/AlfonsecaCACAR16}.",potentially dangerous AI,AI,AI,dangerous,AI,0
4_arx_2305.02231_1835287_1,"Trustworthy Artificial Intelligence (AI) is based on seven technical requirements sustained over three main pillars that should be met throughout the system's entire life cycle: it should be (1) lawful, (2) ethical, and (3) robust, both from a technical and a social perspective.","However, attaining truly trustworthy AI concerns a wider vision that comprises the trustworthiness of all processes and actors that are part of the system's life cycle, and considers previous aspects from different lenses.","However, attaining truly trustworthy <mask> concerns a wider vision that comprises the trustworthiness of all processes and actors that are part of the system's life cycle, and considers previous aspects from different lenses.","A more holistic vision contemplates four essential axes: the global principles for ethical use and development of AI-based systems, a philosophical take on AI ethics, a risk-based approach to AI regulation, and the mentioned pillars and requirements.",truly trustworthy AI,AI,AI,trustworthy,AI,0
4_arx_2409.18695_2156327_3,"We have proposed and open-sourced two large models of our KALE-LM model series, KALE-LM-Chem(-1.5), which have achieved outstanding performance in tasks related to the field of chemistry.","We hope that our work serves as a strong starting point, helping to realize more intelligent AI and promoting the advancement of human science and technology, as well as societal development.","We hope that our work serves as a strong starting point, helping to realize more intelligent <mask> and promoting the advancement of human science and technology, as well as societal development.",,intelligent AI,AI,AI,intelligent,AI,0
4_arx_2312.02051_1963859_0,"For example, it achieves +9.2 F1 score and +2.8 CIDEr on YouCook2, +5.8 HIT@1 on QVHighlights, and +27.5 R@1 (IoU=0.5) on Charades-STA, compared to state-of-the-art video large language models, holding the potential to serve as a versatile video assistant for long-form video comprehension tasks and satisfy realistic user requirements.","This work proposes TimeChat, a time-sensitive multimodal large language model specifically designed for long video understanding.","This work proposes TimeChat, a time-sensitive multimodal <mask> specifically designed for long video understanding.","Our model incorporates two key architectural contributions: (1) a timestamp-aware frame encoder that binds visual content with the timestamp of each frame, and (2) a sliding video Q-Former that produces a video token sequence of varying lengths to accommodate videos of various durations.",a time-sensitive multimodal large language model,large language model,model,"time-sensitive,multimodal",large language model,0
