id,Previous Sentence,Current Sentence,Masked Sentence,Next Sentence,AI Phrase,Suggested Mask,AI Entity,Anthropomorphic Component,Target Expression,Animated
1_acl_131_34995_1,This study explores the proactive ability of LLMs to seek user support.,"We propose metrics to evaluate the trade-off between performance improvements and user burden, and investigate whether LLMs can determine when to request help under varying information availability.","We propose metrics to evaluate the trade-off between performance improvements and user burden, and investigate whether <mask> can determine when to request help under varying information availability.","Our experiments show that without external feedback, many LLMs struggle to recognize their need for user support.",LLMs,LLMs,LLM,determine,LLMs,1
1_acl_7_26333_1,We introduce a new in-context learning paradigm to measure Large Language Models’ (LLMs) ability to learn novel words during inference.,"In particular, we rewrite Winograd-style co-reference resolution problems by replacing the key concept word with a synthetic but plausible word that the model must understand to complete the task.","In particular, we rewrite Winograd-style co-reference resolution problems by replacing the key concept word with a synthetic but plausible word that the <mask> must understand to complete the task.",Solving this task requires the model to make use of the dictionary definition of the new word given in the prompt.,the model,model,model,understand,model,1
1_acl_1_13930_4,"This talk will discuss various problems in representing MWEs, and the extent to which LMs address them: • Do LMs capture the implicit relationship between constituents in compositional MWEs (from baby oil through parsley cake to cheeseburger stabbing)?",• Do LMs recognize when words are used nonliterally in non-compositional MWEs (e.g. do they know whether there are fleas in the flea market)?,• Do <mask> recognize when words are used nonliterally in non-compositional MWEs (e.g. do they know whether there are fleas in the flea market)?,"• Do LMs know idioms, and can they infer the meaning of new idioms from the context as humans often do?",LMs,LMs,LM,recognize,LMs,1
1_acl_335_27056_0,"These associations may suggest that the behavior of LMs is based on mimicking observed language use, rather than truly reflecting epistemic uncertainty.","The increased deployment of LMs for real-world tasks involving knowledge and facts makes it important to understand model epistemology: what LMs think they know, and how their attitudes toward that knowledge are affected by language use in their inputs.","The increased deployment of <mask> for real-world tasks involving knowledge and facts makes it important to understand model epistemology: what LMs think they know, and how their attitudes toward that knowledge are affected by language use in their inputs.","Here, we study an aspect of model epistemology: how epistemic markers of certainty, uncertainty, or evidentiality like “I’m sure it’s”, “I think it’s”, or “Wikipedia says it’s” affect models, and whether they contribute to model failures.",LMs,LMs,LM,think,LMs,1
1_acl_335_27056_0,"These associations may suggest that the behavior of LMs is based on mimicking observed language use, rather than truly reflecting epistemic uncertainty.","The increased deployment of LMs for real-world tasks involving knowledge and facts makes it important to understand model epistemology: what LMs think they know, and how their attitudes toward that knowledge are affected by language use in their inputs.","The increased deployment of LMs for real-world tasks involving knowledge and facts makes it important to understand model epistemology: what <mask> think they know, and how their attitudes toward that knowledge are affected by language use in their inputs.","Here, we study an aspect of model epistemology: how epistemic markers of certainty, uncertainty, or evidentiality like “I’m sure it’s”, “I think it’s”, or “Wikipedia says it’s” affect models, and whether they contribute to model failures.",LMs,LMs,LM,think,LMs,1
1_acl_52_19823_2,"However, in a dynamic world, new entities constantly arise.",We propose a framework to analyze what LMs can infer about new entities that did not exist when the LMs were pretrained.,We propose a framework to analyze what <mask> can infer about new entities that did not exist when the LMs were pretrained.,"We derive a dataset of entities indexed by their origination date and paired with their English Wikipedia articles, from which we can find sentences about each entity.",LMs,LMs,LM,infer,LMs,1
1_acl_52_19823_2,"However, in a dynamic world, new entities constantly arise.",We propose a framework to analyze what LMs can infer about new entities that did not exist when the LMs were pretrained.,We propose a framework to analyze what LMs can infer about new entities that did not exist when the <mask> were pretrained.,"We derive a dataset of entities indexed by their origination date and paired with their English Wikipedia articles, from which we can find sentences about each entity.",LMs,LMs,LM,infer,LMs,1
1_acl_615_27336_1,Language Models (LMs) often must integrate facts they memorized in pretraining with new information that appears in a given context.,"These two sources can disagree, causing competition within the model, and it is unclear how an LM will resolve the conflict.","These two sources can disagree, causing competition within the model, and it is unclear how an <mask> will resolve the conflict.","On a dataset that queries for knowledge of world capitals, we investigate both distributional and mechanistic determinants of LM behavior in such situations.",an LM,LM,LM,resolve a conflict,LM,1
1_acl_12_42096_5,"To quantify information leakage in such setups, we introduce two privacy measures.",We then propose a system that leverages the recently introduced social learning paradigm in which LLMs collaboratively learn from each other by exchanging natural language.,We then propose a system that leverages the recently introduced social learning paradigm in which <mask> collaboratively learn from each other by exchanging natural language.,"Using this paradigm, we demonstrate on several datasets that our methods minimize the privacy loss while at the same time improving task performance compared to a non-cascade baseline.",LLMs,LLMs,LLM,collaboratively learn from each other,LLMs,1
1_acl_508_29544_3,"To examine whether LLMs can collaborate effectively to achieve a consensus for a shared goal, we focus on commonsense reasoning, and introduce a formal debate framework (FORD) to conduct a three-stage debate among LLMs with real-world scenarios alignment: fair debate, mismatched debate, and roundtable debate.","Through extensive experiments on various datasets, LLMs can effectively collaborate to reach a consensus despite noticeable inter-inconsistencies, but imbalances in their abilities can lead to domination by superior LLMs.","Through extensive experiments on various datasets, <mask> can effectively collaborate to reach a consensus despite noticeable inter-inconsistencies, but imbalances in their abilities can lead to domination by superior LLMs.",Leveraging a more advanced LLM like GPT-4 as an authoritative judge can boost collaboration performance.,LLMs,LLMs,LLM,collaborate,LLMs,1
1_acl_508_29544_3,"To examine whether LLMs can collaborate effectively to achieve a consensus for a shared goal, we focus on commonsense reasoning, and introduce a formal debate framework (FORD) to conduct a three-stage debate among LLMs with real-world scenarios alignment: fair debate, mismatched debate, and roundtable debate.","Through extensive experiments on various datasets, LLMs can effectively collaborate to reach a consensus despite noticeable inter-inconsistencies, but imbalances in their abilities can lead to domination by superior LLMs.","Through extensive experiments on various datasets, LLMs can effectively collaborate to reach a consensus despite noticeable inter-inconsistencies, but imbalances in their abilities can lead to domination by superior <mask>.",Leveraging a more advanced LLM like GPT-4 as an authoritative judge can boost collaboration performance.,LLMs,LLMs,LLM,collaborate,LLMs,1
1_arx_2106.15110_1492874_1,"Many facts come with an expiration date, from the name of the President to the basketball team Lebron James plays for.","But language models (LMs) are trained on snapshots of data collected at a specific moment in time, and this can limit their utility, especially in the closed-book setting where the pretraining corpus must contain the facts the model should memorize.","But language models (LMs) are trained on snapshots of data collected at a specific moment in time, and this can limit their utility, especially in the closed-book setting where the pretraining corpus must contain the facts the <mask> should memorize.","We introduce a diagnostic dataset aimed at probing LMs for factual knowledge that changes over time and highlight problems with LMs at either end of the spectrum -- those trained on specific slices of temporal data, as well as those trained on a wide range of temporal data.",the model,model,model,memorize,model,1
1_acl_263_41409_3,"Inspired by research on jailbreak attack patterns, we argue this is caused by mismatched generalization.","That is, the LLM only remembers the answer style for open-ended safety questions, which makes it unable to solve other forms of safety tests.","That is, the <mask> only remembers the answer style for open-ended safety questions, which makes it unable to solve other forms of safety tests.",We refer to this phenomenon as fake alignment and construct a comparative benchmark to empirically verify its existence in LLMs.,the LLM,LLM,LLM,remember,LLM,1
1_acl_392_27113_5,"Specifically, MoT is divided into two stages: 1. before the test stage, the LLM pre-thinks on the unlabeled dataset and saves the high-confidence thoughts as external memory; 2.","During the test stage, given a test question, the LLM recalls relevant memory to help itself reason and answer it.","During the test stage, given a test question, the <mask> recalls relevant memory to help itself reason and answer it.","Experimental results show that MoT can help ChatGPT significantly improve its abilities in arithmetic reasoning, commonsense reasoning, factual reasoning, and natural language inference.",the LLM,LLM,LLM,recall,LLM,1
1_arx_2304.10149_1828195_10,We conduct human evaluations on two explainability-oriented tasks to more accurately evaluate the quality of contents generated by different models.,And the human evaluations show ChatGPT can truly understand the provided information and generate clearer and more reasonable results.,And the human evaluations show <mask> can truly understand the provided information and generate clearer and more reasonable results.,We hope that our study can inspire researchers to further explore the potential of language models like ChatGPT to improve recommendation performance and contribute to the advancement of the recommendation systems field.,ChatGPT,ChatGPT,ChatGPT,understand,ChatGPT,1
1_arx_2212.13371_1769548_6,"In two separate experiments, we then employ this method in hundreds of trust games between an AI agent (a Large Language Model (LLM) from OpenAI) and a human experimenter (author TJ).","In our first experiment, we find that the AI agent decides to trust humans at higher rates when facing actual incentives than when making hypothetical decisions.","In our first experiment, we find that the <mask> decides to trust humans at higher rates when facing actual incentives than when making hypothetical decisions.",Our second experiment replicates and extends these findings by automating game play and by homogenizing question wording.,the AI agent,AI agent,agent,decide to trust,AI agent,1
1_arx_2109.14723_1537544_1,"Although pretrained language models (PTLMs) contain significant amounts of world knowledge, they can still produce inconsistent answers to questions when probed, even after specialized training.","As a result, it can be hard to identify what the model actually ""believes"" about the world, making it susceptible to inconsistent behavior and simple errors.","As a result, it can be hard to identify what the <mask> actually ""believes"" about the world, making it susceptible to inconsistent behavior and simple errors.",Our goal is to reduce these problems.,the model,model,model,believe,model,1
1_arx_2210.01478_1722833_1,AI systems are becoming increasingly intertwined with human life.,"In order to effectively collaborate with humans and ensure safety, AI systems need to be able to understand, interpret and predict human moral judgments and decisions.","In order to effectively collaborate with humans and ensure safety, <mask> need to be able to understand, interpret and predict human moral judgments and decisions.","Human moral judgments are often guided by rules, but not always.",AI systems,AI systems,system,"understand,interpret,predict human moral judgments and decisions",AI systems,1
1_arx_2212.01681_1757858_6,These representations can in turn influence subsequent LM generation in the same way that agents' communicative intentions influence their language.,I survey findings from the recent literature showing that -- even in today's non-robust and error-prone models -- LMs infer and use representations of fine-grained communicative intentions and more abstract beliefs and goals.,I survey findings from the recent literature showing that -- even in today's non-robust and error-prone models -- <mask> infer and use representations of fine-grained communicative intentions and more abstract beliefs and goals.,"Despite the limited nature of their training data, they can thus serve as building blocks for systems that communicate and act intentionally.",LMs,LMs,LM,infer,LMs,1
1_arx_2303.17557_1817354_1,The training of modern large language models (LLMs) takes place in a regime where most training examples are seen only a few times by the model during the course of training.,What does a model remember about such examples seen only a few times during training and how long does that memory persist in the face of continuous training with new examples?,What does a <mask> remember about such examples seen only a few times during training and how long does that memory persist in the face of continuous training with new examples?,"Here, we investigate these questions through simple recognition, recall, and retention experiments with LLMs.",a model,model,model,remember,model,1
1_arx_1810.06338_1037525_0,The methodology is implemented in the new XAI-Plan framework.,"In order to engender trust in AI, humans must understand what an AI system is trying to achieve, and why.","In order to engender trust in AI, humans must understand what an <mask> is trying to achieve, and why.","To overcome this problem, the underlying AI process must produce justifications and explanations that are both transparent and comprehensible to the user.",an AI system,AI system,system,try to achieve,AI system,1
1_arx_2210.09492_1730847_6,"To probe more deeply, we construct prompts that require the relevant kind of conceptual reasoning.","Here, we fail to find convincing evidence that GPT-3 is reasoning about more than just individual lexical items.","Here, we fail to find convincing evidence that <mask> is reasoning about more than just individual lexical items.",These results highlight the importance of controlling for low-level distributional regularities when assessing whether a large language model latently encodes a deeper theory.,GPT-3,GPT-3,GPT-3,reason,GPT-3,1
1_arx_2302.04761_1789695_2,"They also, paradoxically, struggle with basic functionality, such as arithmetic or factual lookup, where much simpler and smaller models excel.","In this paper, we show that LMs can teach themselves to use external tools via simple APIs and achieve the best of both worlds.","In this paper, we show that <mask> can teach themselves to use external tools via simple APIs and achieve the best of both worlds.","We introduce Toolformer, a model trained to decide which APIs to call, when to call them, what arguments to pass, and how to best incorporate the results into future token prediction.",LMs,LMs,LM,teach,LMs,1
1_arx_2212.09561_1765738_6,We take the conclusion obtained by CoT as one of the conditions for solving the original problem.,"By performing a backward verification of the answers that LLM deduced for itself, we can obtain interpretable answer validation scores to select the candidate answer with the highest score.","By performing a backward verification of the answers that <mask> deduced for itself, we can obtain interpretable answer validation scores to select the candidate answer with the highest score.","Experimental results demonstrate that the proposed method can improve the reasoning performance on various arithmetic, commonsense, and logical reasoning datasets.",LLM,LLM,LLM,deduce,LLM,1
1_acl_322_28458_1,"While large language models (LLMs) have proven to be effective on a large variety of tasks, they are also known to hallucinate information.","To measure whether an LLM prefers factually consistent continuations of its input, we propose a new benchmark called FIB (Factual Inconsistency Benchmark) that focuses on the task of summarization.","To measure whether an <mask> prefers factually consistent continuations of its input, we propose a new benchmark called FIB (Factual Inconsistency Benchmark) that focuses on the task of summarization.","Specifically, our benchmark involves comparing the scores an LLM assigns to a factually consistent versus a factually inconsistent summary for an input news article.",an LLM,LLM,LLM,prefer,LLM,1
1_acl_378_29414_7,"We present a new method, self-ask, that further improves on chain of thought.","In our method, the model explicitly asks itself (and then answers) follow-up questions before answering the initial question.","In our method, the <mask> explicitly asks itself (and then answers) follow-up questions before answering the initial question.","We finally show that self-ask’s structured prompting lets us easily plug in a search engine to answer the follow-up questions, which additionally improves accuracy.",the model,model,model,ask,model,1
1_arx_2304.05376_1823422_8,"Our evaluation, including both LLM and expert assessments, demonstrates ChemCrow's effectiveness in automating a diverse set of chemical tasks.","Surprisingly, we find that GPT-4 as an evaluator cannot distinguish between clearly wrong GPT-4 completions and Chemcrow's performance.","Surprisingly, we find that <mask> as an evaluator cannot distinguish between clearly wrong GPT-4 completions and Chemcrow's performance.","Our work not only aids expert chemists and lowers barriers for non-experts, but also fosters scientific advancement by bridging the gap between experimental and computational chemistry.",GPT-4,GPT-4,GPT-4,distinguish,GPT-4,1
1_arx_2304.05376_1823422_8,"Our evaluation, including both LLM and expert assessments, demonstrates ChemCrow's effectiveness in automating a diverse set of chemical tasks.","Surprisingly, we find that GPT-4 as an evaluator cannot distinguish between clearly wrong GPT-4 completions and Chemcrow's performance.","Surprisingly, we find that GPT-4 as an evaluator cannot distinguish between clearly wrong <mask> completions and Chemcrow's performance.","Our work not only aids expert chemists and lowers barriers for non-experts, but also fosters scientific advancement by bridging the gap between experimental and computational chemistry.",GPT-4,GPT-4,GPT-4,distinguish,GPT-4,1
1_arx_2212.02911_1759088_4,This way the model can benefit from the superior natural language understanding performance of RoBERTa and the good natural language generation performance of GPT-2.,Our evaluation shows that the model can create French poetry successfully.,Our evaluation shows that the <mask> can create French poetry successfully.,"On a 5 point scale, the lowest score of 3.57 was given by human judges to typicality and emotionality of the output poetry while the best score of 3.79 was given to understandability.",the model,model,model,create French poetry,model,1
1_arx_2303.18027_1817824_5,"However, our evaluation also exposes critical limitations of the current LLM APIs.","First, LLMs sometimes select prohibited choices that should be strictly avoided in medical practice in Japan, such as suggesting euthanasia.","First, <mask> sometimes select prohibited choices that should be strictly avoided in medical practice in Japan, such as suggesting euthanasia.","Further, our analysis shows that the API costs are generally higher and the maximum context size is smaller for Japanese because of the way non-Latin scripts are currently tokenized in the pipeline.",LLMs,LLMs,LLM,select,LLMs,1
1_arx_2304.09048_1827094_1,Current generative knowledge graph construction approaches usually fail to capture structural knowledge by simply flattening natural language into serialized texts or a specification language.,"However, a large generative language model trained on structured data such as code has demonstrated impressive capability in understanding natural language for structural prediction and reasoning tasks.","However, a <mask> trained on structured data such as code has demonstrated impressive capability in understanding natural language for structural prediction and reasoning tasks.","Intuitively, we address the task of generative knowledge graph construction with code language model: given a code-format natural language input, the target is to generate triples which can be represented as code completion tasks.",a large generative language model,large generative language model,model,demonstrate capability in understanding natural language,large generative language model,1
