7_acl_8_10945_3	We present a dataset for evaluating perspective inference in English, ProSPer, and use it to explore how humans and Transformer-based language models infer perspective.	Although the best bidirectional model performs similarly to humans, they display different strengths: humans outperform neural networks in conversational contexts, while RoBERTa excels at written genres.	Although the best <mask> performs similarly to humans, they display different strengths: humans outperform neural networks in conversational contexts, while RoBERTa excels at written genres.		the best bidirectional model	bidirectional model	model	perform similarly to humans	bidirectional model	2
7_acl_5_26147_5	We traced the cause of this divergence to specific attention heads in a middle layer.	Adding a power-law recency bias to these attention heads yielded a model that performs much more similarly to humans.	Adding a power-law recency bias to these attention heads yielded a <mask> that performs much more similarly to humans.	We hope that this scenario will spur future work in bringing LMs closer to human behavior.	a model	model	model	perform similarly to humans	model	2
7_acl_24_22807_4	We administered two validated measurement tools to GPT-3 to assess its personality, the values it holds and its self-reported demographics.	Our results show that GPT-3 scores similarly to human samples in terms of personality and - when provided with a model response memory - in terms of the values it holds.	Our results show that <mask> scores similarly to human samples in terms of personality and - when provided with a model response memory - in terms of the values it holds.	We provide the first evidence of psychological assessment of the GPT-3 model and thereby add to our understanding of this language model.	GPT-3	GPT-3	GPT-3	score similarly to human samples in terms of personality	GPT-3	2
7_acl_572_45853_6	We focus specifically on projection inferences, a type of inference that directly probes belief attribution.	We find that some LLMs are sensitive to factors that affect the inference process similarly to humans, yet there remains variance in human behavior not fully captured by LLMs.	We find that some <mask> are sensitive to factors that affect the inference process similarly to humans, yet there remains variance in human behavior not fully captured by LLMs.	The RSA model, on the other hand, outperforms LLMs in capturing the variances in human data, suggesting that explicit belief representation might be necessary to construct human-like projection inferences.	LLMs	LLMs	LLM	inference process similarly to humans	LLMs	2
7_acl_9_38794_1	Inferences from adjective-noun combinations like “Is artificial intelligence still intelligence?” provide a good test bed for LLMs’ understanding of meaning and compositional generalization capability, since there are many combinations which are novel to both humans and LLMs but nevertheless elicit convergent human judgments.	We study a range of LLMs and find that the largest models we tested are able to draw human-like inferences when the inference is determined by context and can generalize to unseen adjective-noun combinations.	We study a range of LLMs and find that the largest <mask> we tested are able to draw human-like inferences when the inference is determined by context and can generalize to unseen adjective-noun combinations.	We also propose three methods to evaluate LLMs on these inferences out of context, where there is a distribution of human-like answers rather than a single correct answer.	the largest models we tested	models	model	human-like inferences	models	2
7_arx_2303.09038_1808835_0	Our results show that it is feasible to utilize large language models in clinical education, and further efforts are needed to address limitations and maximize their potential.	The large language model called ChatGPT has drawn extensively attention because of its human-like expression and reasoning abilities.	The <mask> called ChatGPT has drawn extensively attention because of its human-like expression and reasoning abilities.	In this study, we investigate the feasibility of using ChatGPT in experiments on using ChatGPT to translate radiology reports into plain language for patients and healthcare providers so that they are educated for improved healthcare.	The large language model called ChatGPT	large language model	model	human-like expression and reasoning abilitiies	large language model	2
7_acl_8_4584_5	This work utilizes the image captioning model to capture the semantics of the input image and a modular design to generate a probability distribution for semantic topics.	It gives any autonomous system the ability to process visual information in a human-like way and generates more insights which are hardly possible with a conventional algorithm.	It gives any autonomous <mask> the ability to process visual information in a human-like way and generates more insights which are hardly possible with a conventional algorithm.	Here a model and data collection method are proposed.	any autonomous system	system	system	process visual information in a human-like way	system	2
7_acl_38_14688_1	We present on-going work of evaluating the, to our knowledge, first large generative language model trained to converse in Swedish, using data from the online discussion forum Flashback.	We conduct a human evaluation pilot study that indicates the model is often able to respond to conversations in both a human-like and informative manner, on a diverse set of topics.	We conduct a human evaluation pilot study that indicates the <mask> is often able to respond to conversations in both a human-like and informative manner, on a diverse set of topics.	While data from online forums can be useful to build conversational systems, we reflect on the negative consequences that incautious application might have, and the need for taking active measures to safeguard against them.	the model	model	model	respond to conversations in a human-like manner	model	2
7_acl_188_24338_1	Ellipsis is a linguistic phenomenon characterized by the omission of one or more sentence elements.	Solving such a linguistic construction is not a trivial issue in natural language processing since it involves the retrieval of non-overtly expressed verbal material, which might in turn require the model to integrate human-like syntactic and semantic knowledge.	Solving such a linguistic construction is not a trivial issue in natural language processing since it involves the retrieval of non-overtly expressed verbal material, which might in turn require the <mask> to integrate human-like syntactic and semantic knowledge.	In this paper, we explored the issue of how the prototypicality of event participants affects the ability of Language Models (LMs) to handle elliptical sentences and to identify the omitted arguments at different degrees of thematic fit, ranging from highly typical participants to semantically anomalous ones.	the model	model	model	human-like syntactic and semantic knowledge	model	2
7_acl_245_24395_3	We notice that human reasoning has a dual reasoning framework that consists of an immediate reaction system (system 1) and a delicate reasoning system (system 2), where the entire reasoning is determined by their interaction.	This inspires us to develop a cooperative reasoning-induced PLM for solving MWPs, called Cooperative Reasoning (CoRe), resulting in a human-like reasoning architecture with system 1 as the generator and system 2 as the verifier.	This inspires us to develop a cooperative reasoning-induced PLM for solving MWPs, called Cooperative Reasoning (CoRe), resulting in a human-like reasoning <mask> with system 1 as the generator and system 2 as the verifier.	In our approach, the generator is responsible for generating reasoning paths, and the verifiers are used to supervise the evaluation in order to obtain reliable feedback for the generator.	a human-like reasoning architecture	architecture	architecture	human-like reasoning	architecture	2
7_acl_115_26836_3	Gender bias is one of the most pervasive biases in our society and is seen in online and offline discourses.	With LLMs increasingly gaining human-like fluency in text generation, gaining a nuanced understanding of the biases these systems can generate is imperative.	With <mask> increasingly gaining human-like fluency in text generation, gaining a nuanced understanding of the biases these systems can generate is imperative.	Prior work often treats gender bias as a binary classification task.	LLMs	LLMs	LLM	human-like fluency	LLMs	2
