1111.5202_303438_6	Some of these phenomena can be equally explained by either a wave or non-wave model alone.
1201.1369_313356_1	We show that often optical and near-infrared spectral energy distribution of LMXBs can be adequately described by a simple model of an accretion disc and a secondary star reprocessing X-ray emission of a central compact object.
1212.5593_395209_0	  Considering the natural ventilation, the thermal behavior of buildings can be described by a linear time varying model.
1408.5886_551192_2	Both the emitted power and its angular pattern are well described by a model, where microwave photons are generated via bremsstrahlung in the free-electron atomic-nucleus collisions, during the slowdown of the electrons.
1501.07576_594324_2	In this study, UAV dynamics are described by a three-dimensional dynamic point-mass model.
1604.05122_724289_0	  An air pollution model is generally described by a system of PDEs on unbounded domain.
1606.00401_738308_8	I then describe a concept for a formal category theoretic basis to a generalised player model.
1702.00137_814731_4	* How could we teach AI topics at an early undergraduate or a secondary school level?   
1712.05322_923921_1	The pulsar spectrum is well described by the thermal comptonization model both in a quiescent state and during flares, when the peak luminosity reaches values $L_{\rm x} \sim (2-4)\times10^{39}$ erg s$^{-1}$.
1802.07695_947235_0	  Practical application of H[infinity] robust control relies on system identification of a valid model-set, described by a linear system in feedback with a stable norm-bounded uncertainty, which must explains all possible (or at least all previously measured) behavior for the control plant.
1803.05457_955590_0	  We present a new question set, text corpus, and baselines assembled to encourage AI research in advanced question answering.
1803.11096_961229_0	  Group zero-attracting LMS and its reweighted form have been proposed for addressing system identification problems with structural group sparsity in the parameters to estimate.
1805.05062_978107_3	To overcome these limitations we build upon the recent reward augmented maximum likelihood approach \ie sequence-level smoothing that encourages the model to predict sentences close to the ground truth according to a given performance metric.
1904.08796_1113836_10	Open-access data sets and software implementations could alleviate these issues, and encourage further AI applications to pediatric ophthalmology.   
1907.08625_1153161_4	The broadband 3-30 keV NuSTAR energy spectrum can be well described either by a three-component continuum model consisting of a disk blackbody, a single temperature blackbody and a power-law or by a two-component continuum model consisting of a disk blackbody and a Comptonization component.
1909.02984_1173022_7	We modeled the X-ray emission from the SB and found that its X-ray emission can be simply explained by pressure-driven wind model, that is, there is no need to invoke the presence of a SN explosion as previously suggested.
1910.09031_1192950_5	Central challenges being addressed in CAI4CAI include how to integrate the ensemble of prior knowledge and instantaneous sensory information from experts, sensors and actuators; how to create and communicate a faithful and actionable shared representation of the surgery among a mixed human-AI actor team; how to design interventional systems and associated cognitive shared control schemes for online uncertainty-aware collaborative decision making ultimately producing more precise and reliable interventions.
2001.10717_1236130_5	In this early work, a comparative evaluation of our MRE data driven simulation and the traditional method shows clinically significant differences in accuracy during landmark placement and motivates further animal model trials.
2003.13003_1263358_4	It further encourages the language model to encode domain-invariant representations by optimizing a series of novel domain corruption loss functions.
2005.03848_1283643_2	As an alternative, we propose a new method for BERT distillation, i.e., asking the teacher to generate smoothed word ids, rather than labels, for teaching the student model in knowledge distillation.
2006.11194_1305708_0	  Explainable AI provides insight into the "why" for model predictions, offering potential for users to better understand and trust a model, and to recognize and correct AI predictions that are incorrect.
2006.14779_1309293_0	  Many researchers motivate explainable AI with studies showing that human-AI team performance on decision-making tasks improves when the AI explains its recommendations.
2007.07250_1318764_6	We extend that concept to address system-level autonomy capabilities of AI-enabled cyber-physical systems.
2007.12912_1324426_3	Motivated by these issues, this paper addresses a drone-enabled intelligent vehicular system, which is secure, easy to deploy and reliable in quality.
2008.01048_1328770_7	For the simple-point-charge model of water we study, these results argue distinctly against rationalizing ion adsorption in terms of surface potentials inherent to molecular structure of the liquid's boundary.
2008.07326_1335048_1	However, the appearance of research centres, projects or institutions addressing AI solutions from a multidisciplinary and multi-stakeholder perspective suggests a new approach to assessment comprising ethical guidelines, reports or tools and frameworks to help both academia and business to move towards a responsible conceptualisation of AI.
2008.10530_1338252_0	  We present a new mathematical model to explicitly capture the effects that the three restriction measures: the lockdown date and duration, social distancing and masks, and, schools and border closing, have in controlling the spread of COVID-19 infections $i(r, t)$. Before restrictions were introduced, the random spread of infections as described by the SEIR model grew exponentially.
2009.04984_1346487_3	As the foundation for model pre-training, we synthesize a new dialogue corpus and build our training set with two unsupervised methods: 1) coherence-oriented context corruption, including utterance ordering, insertion, and replacement, to help the model capture the coherence inside the dialogue contexts; and 2) specificity-oriented automatic rescoring, which encourages the model to measure the quality of the synthesized data for dialogue-adaptive pre-training by considering specificity and informativeness.
2009.07876_1349379_3	In this paper we argue for an AI-enabled control that allows optimized and efficient conversion between qubit and photon energies, to enable optic and quantum devices to work together.
2009.10228_1351731_1	However, support for designing tools and curriculum to teach K-12 AI literacy is still limited.
2009.10228_1351731_2	There is a need for additional interdisciplinary human-computer interaction and education research investigating (1) how general AI literacy is currently implemented in learning experiences and (2) what additional guidelines are required to teach AI literacy in specifically K-12 learning contexts.
2009.11100_1352603_5	We identify opportunities for researchers and teachers to collaborate to make AI education more accessible, and present an exemplar lesson plan that shows entry points for teaching AI in non-computing subjects.
2009.11101_1352604_4	Here we describe six self-contained and adaptive modules in "AI-assisted Malware Analysis."
2010.04887_1361217_3	We compared both transformer and long short-term memory LMs to find that, contrary to humans, implicit causality only influences LM behavior for reference, not syntax, despite model representations that encode the necessary discourse information.
2010.11506_1367836_4	(2) Off-manifold regularization, which encourages the model to output uniform distributions for pseudo off-manifold samples to address the over-confidence issue for OOD data.
2010.14617_1370947_4	The role of the LTP and LTD in the cerebellum is also explained in algorithm level.
2011.02323_1375071_6	Moreover, we empirically argue against the strict dependency between the dataset size and model performance, but rather encourage task-specific model and method selection.
2011.10737_1383485_2	Recently, substantial research efforts in learning-based methods for optimal control problems have been progressing significantly in addressing unknown system models, particularly when the system has complex interactions with the environment.
2012.14682_1402560_5	We further devise a difficulty-aware objective, encouraging the model to output the class probability that reflects the real difficulty of each instance for a more reliable cascading mechanism.
2101.00406_1404148_1	First, instead of considering documents in isolation, we pretrain over sets of multiple related documents, encouraging the model to learn cross-document relationships.
2101.04283_1408025_0	  This paper briefly reviews the history of meta-learning and describes its contribution to general AI.
2101.06098_1409840_0	  The development of AI applications is a multidisciplinary effort, involving multiple roles collaborating with the AI developers, an umbrella term we use to include data scientists and other AI-adjacent roles on the same team.
2102.01380_1417869_3	ILMT encourages the E2E model to form a standalone LM inside its existing components, without sacrificing ASR accuracy.
2103.00689_1430834_4	The color centers show a strong diameter-dependent emission intensity, which can be explained with a theoretical model for chemical reactivity taking into account strain along the tube curvature.
2103.10873_1441018_4	Addressing the DNN model design, from training and dataset augmentation to 8-bit quantization and deployment, we demonstrate how a PULP-based processor, aboard a nano-UAV, is sufficient for the real-time execution (up to 135 frame/s) of our novel DNN, called PULP-Frontnet.
2103.11903_1442048_2	First we analyze the performance of network in tracking a time varying weight vector and then we explain the estimation of Rayleigh fading channel through a random walk model.
2103.15004_1445149_7	It motivates XR-AI combinations as a method to learn about the effects of prospective human-AI interfaces and shows why the combination of XR and AI fruitfully contributes to a valid and systematic investigation of human-AI interactions and interfaces.
2104.12145_1459563_6	Given that GPT will perform better when given detailed and specific questions, we break down the PCSEL design problem into a series of sub-problems and converse with GPT by posing open-ended heuristic questions rather than definitive commands.
2105.00164_1462723_0	  Natural language processing (NLP) systems have been proven to be vulnerable to backdoor attacks, whereby hidden features (backdoors) are trained into a language model and may only be activated by specific inputs (called triggers), to trick the model into producing unexpected behaviors.
2105.05012_1467571_6	The proposed RAA is responsible for reasoning students' learning performance and showing the results on the AIoT-FML learning tool after communicating with the AI-FML platform.
2105.12655_1475214_4	In this paper, we present a large-scale dataset CodeNet, consisting of over 14 million code samples and about 500 million lines of code in 55 different programming languages, which is aimed at teaching AI to code.
2106.01998_1479762_2	As an exploration of whether it is possible to explain user's mental model and behavior through Artificial Intelligence (AI) techniques, the research team compared the card sorting data with the outputs of a number of Natural Language Processing (NLP) techniques with the goal of understanding how participants perceived and interpreted the consequences of cyber attacks written in natural languages.
2107.05383_1499395_1	We asked the world's best language model, GPT-3, fifteen difficult questions about the nature, value, and future of library and information science (LIS), topics that receive perennial attention from LIS scholars.
2107.07691_1501703_5	To address these difficulties, we suggest technical and community-based approaches need to combine to acknowledge and address complex and intersectional language model bias.
2107.09051_1503063_6	Lastly, open issues and opportunities address future AI-empowered finance and finance-motivated AI research.
2107.11275_1505287_1	One way to understand and improve robustness of these models is an exploration of an adversarial attack scenario: check if a small perturbation of an input can fool a model.   
2108.01250_1510065_5	At the same time, we find that little of the fairness variation is explained by model size, despite claims in the literature.
2108.11193_1520008_4	Overall, our results suggest that language modeling objectives incentivize the model to implicitly learn some notion of spelling, and that explicitly teaching the model how to spell does not appear to enhance its performance on such tasks.
2109.07971_1530792_2	In a series of experiments, we evaluate the extent to which language model representations of city and country names are isomorphic to real-world geography, e.g., if you tell a language model where Paris and Berlin are, does it know the way to Rome?
2109.10836_1533657_4	Taking this wide perspective, this year there will be no single theme to lead the symposium and we encourage AI-HRI submissions from across disciplines and research interests.
2111.00826_1554929_0	  In this work, we explain the setup for a technical, graduate-level course on Fairness, Accountability, Confidentiality, and Transparency in Artificial Intelligence (FACT-AI) at the University of Amsterdam, which teaches FACT-AI concepts through the lens of reproducibility.
2111.00826_1554929_4	We reflect on our experience teaching the course over two years, where one year coincided with a global pandemic, and propose guidelines for teaching FACT-AI through reproducibility in graduate-level AI study programs.
2111.13642_1567745_4	The synchronisation of X-ray and optical QPOs indicates that they must be produced in regions physically very close to each other; we thus propose that they can be explained by a precessing jet model, based on analogies with V404 Cyg and MAXI J1348-630.
2112.00592_1570368_0	  In a distributed multi-antenna system, multiple geographically separated transmit nodes communicate simultaneously to a receive node.
2112.01016_1570792_2	The gap is glaring: what is considered "explained" to AI-experts versus non-experts are very different in practical scenarios.
2112.11668_1581444_1	Yet, it is strikingly vulnerable to adversarial examples, e.g., word substitution attacks using only synonyms can easily fool a BERT-based sentiment analysis model.
2112.11668_1581444_4	In particular, RIFT encourages an objective model to retain the features learned from the pre-trained model throughout the entire fine-tuning process, whereas a conventional one only uses the pre-trained weights for initialization.
2201.05955_1591327_2	Starting with an existing dataset, MultiNLI for natural language inference (NLI), our approach uses dataset cartography to automatically identify examples that demonstrate challenging reasoning patterns, and instructs GPT-3 to compose new examples with similar patterns.
2201.06009_1591381_5	On four tasks (two lexical tasks, two advanced ethical reasoning tasks), we show how a (simulated) user can interactively teach a deployed GPT-3, substantially increasing its accuracy over the queries with different kinds of misunderstandings by the GPT-3.
2202.01281_1600105_3	In this paper, we present an experience report of teaching an AI course to business executives in the United Arab Emirates (UAE).
